"triggerID"	"name"	"exp"	"z3exp"	"upname"	"description"
"35"	"Switched off"	"device = turn off"	"device == 7"	"home"	"this trigger fires when your home device is switched off"
"38"	"RF Bridge Alarm activated"	"siren = turn on"	"siren == 0"	"home"	"this trigger fires when an alarm of your rf bridge is activated"
"55"	"An air quality alert has been raised"	"air quality_alert = raise"	"air quality_alert == 0"	"home"	"this trigger fires when an air quality alert is raised by your home"
"56"	"Motion has been detect"	"sensor motion_detection = detect"	"sensor motion_detection == 2"	"home"	"this trigger fires when your home detects motion"
"60"	"Nest set to Away"	"home mode = away"	"home mode == 5"	"thermostat"	"this trigger fires when the home   is set to away"
"61"	"Oven finished"	"oven = turn off"	"oven == 1"	"oven"	"this trigger fires when your oven has finished successfully"
"66"	"Preheat temperature reached"	"oven program = preheat"	"oven program == 0"	"oven"	"this trigger fires when the preheating phase has finished"
"67"	"Oven clock timer elapsed"	"oven timer = elapse"	"oven timer == 0"	"oven"	"this trigger fires when the clock timer on your oven has elapsed"
"69"	"Door open"	"oven door = open"	"oven door == 1"	"oven"	"this trigger fires when your oven door has been open"
"72"	"A device is turn on"	"device = turn on"	"device == 2"	"home"	"this trigger fires when a device attached to your home system is turn on"
"73"	"Smoke alarm"	"sensor smoke = detect"	"sensor smoke == 0"	"sensor"	"this trigger fires when your smoke detector detects a smoke alarm"
"75"	"Oven turn on"	"oven = turn on"	"oven == 0"	"oven"	"this trigger fires when your oven is turn on"
"76"	"Door close"	"oven door = close"	"oven door == 0"	"oven"	"this trigger fires when your oven door has been close"
"79"	"Smoke alarm emergency"	"air smoke = warning_level"	"air smoke == 0"	"alarm"	"this trigger fires when the alarm   detects dangerous smoke levels"
"85"	"Cycle is complete"	"dishwasher = turn off"	"dishwasher == 0"	"dishwasher"	"this trigger fires when your dishwasher cycle is complete"
"93"	"Motion detect"	"sensor motion_detection = detect"	"sensor motion_detection == 2"	"home"	"this trigger fires whenever a motion sensor detects movement nearby"
"94"	"Every hour at"	"time  = specific time"	"time == 5"	"time"	"this trigger fires once an hour at :00, :15, :30, or :45 minutes past the hour"
"95"	"tado⁠° switches to Away Mode"	"heater mode = away"	"heater mode == 0"	"heater"	"this trigger fires when tado⁠° switches to away mode"
"96"	"Any event starts"	"time = event start"	"time == 2"	"time"	"this trigger fires a set number of minutes before the starting time of any event on your time"
"99"	"Wind speed rise above"	"weather wind_speed = greater value"	"weather wind_speed > 0"	"weather"	"this trigger fires when the wind speed rise above a value     "
"100"	"Event from search starts"	"time = event start"	"time == 2"	"time"	"this trigger fires minutes before the starting time of an event on your time"
"101"	"Door unlock"	"door = close"	"door == 0"	"lock"	"this trigger fires when someone unlocks or unlatches the door"
"102"	"Robolinho® has arrived at the base station"	"mower = park"	"mower == 0"	"mower"	"this trigger fires when your al-ko robolinho® has arrived at the base station"
"103"	"Robolinho® has started mowing"	"mower = start"	"mower == 1"	"mower"	"this trigger fires when your al-ko robolinho® starts mowing"
"107"	"Scene launched"	"home scene = start"	"home scene == 0"	"home"	"this trigger starts when you launch a scene (home, away, wake up, sleep)"
"109"	"Cycle is complete"	"washer cycle = end"	"washer cycle == 0"	"washer"	"this trigger fires when your washer cycle is complete"
"110"	"Cycle starts"	"washer cycle = start"	"washer cycle == 1"	"washer"	"this trigger fires when your washer cycle starts"
"114"	"Cycle is complete"	"dryer cycle = end"	"dryer cycle == 0"	"dryer"	"this trigger fires when your dryer cycle is complete"
"115"	"Lint filter is full"	"dryer filter = full"	"dryer filter == 0"	"dryer"	"this trigger fires when the lint filter is full"
"116"	"Condensate container is full"	"dryer condensate_container = full"	"dryer condensate_container == 0"	"dryer"	"this trigger fires when the condensate container is full"
"119"	"An #OhmHour ends"	"energy low_hour= end"	"energy low_hour == 0"	"energy"	"this trigger fires when an ohmhour ends"
"122"	"An #OhmHour starts"	"energy low_hour= start"	"energy low_hour == 1"	"energy"	"this trigger fires when an ohmhour starts"
"123"	"Lowest CO2 intensity in the electricity"	"air co2 = lowest"	"air co2 == 0"	"energy"	"this trigger fires when the co2 intensity in the electricity production is lowest"
"125"	"Cycle starts"	"dryer cycle = start"	"dryer cycle == 1"	"dryer"	"this trigger fires when your dryer cycle starts"
"127"	"Flic is clicked"	"switch = press"	"switch == 1"	"switch"	"this trigger fires when you click the selected switch"
"130"	"Motion detect"	"sensor motion_detection = detect"	"sensor motion_detection == 2"	"camera"	"this trigger fires when motion is detect"
"132"	"Gesture with task matching ID occurs"	"home gesture = tap"	"home gesture == 0"	"home"	"this trigger fires if you tap a gesture with a custom ifttt task matching the id ofthis trigger"
"135"	"Sound detect"	"camera sound = detect"	"camera sound == 0"	"camera"	"this trigger fires when sound is detect"
"137"	"New Ring detect"	"door doorbell = press"	"door doorbell == 0"	"ring"	"this trigger fires when somebody rings your ring doorbell"
"138"	"When Motion detect"	"sensor motion_detection = detect"	"sensor motion_detection == 2"	"home"	"this trigger fires when motion detect by home supported z-wave sensor"
"143"	"Scene changed"	"home scene = change"	"home scene == 2"	"home"	"this trigger fires when the scene in a room is changed"
"148"	"Carbon filter saturation nearly reached"	"home carbon_filter  = reached saturation"	"home carbon_filter == 0"	"home"	"this trigger fires when the carbon filter saturation is nearly reached"
"149"	"Every year on"	"time  = specific time"	"time == 5"	"time"	"this trigger fires once a year on the date and time  "
"156"	"Motion detect"	"sensor motion_detection = detect"	"sensor motion_detection == 2"	"home"	"this trigger fires when the device connected to home home center detects motion"
"158"	"Temperature rise above value"	"heater temperature = greater value"	"heater temperature > 1"	"heater"	"this trigger fires when the room temperature rise above a user-defined value"
"164"	"Device turn on"	"device = turn on"	"device == 2"	"home"	"this trigger fires when device turn on"
"165"	"Motion detect"	"sensor motion_detection = detect"	"sensor motion_detection == 2"	"camera"	"this trigger fires when your camera device detects motion"
"166"	"Temperature rise above"	"heater temperature = greater value"	"heater temperature > 1"	"sensor"	"this trigger fires when the temperature rise above a value  "
"169"	"Door unlock"	"door = close"	"door == 0"	"lock"	"this trigger fires when the door is unlock"
"173"	"Alarm initiated"	"siren = turn on"	"siren == 0"	"home"	"this trigger fires when your home security system receives an alarm (detection, intrusion, silent alert, "
"174"	"New Device Connects"	"wifi new_device = connect"	"wifi new_device == 0"	"wifi"	"this trigger fires when a new device connects to your wifi"
"177"	"Switched off"	"switch = turn off"	"switch == 5"	"home"	"this trigger fires when a knx device or binary switch is turn off"
"180"	"Short Press"	"switch = short press"	"switch == 6"	"switch"	"this trigger fires when you do a short press on the configured logi button"
"183"	"When I get out of bed"	"sensor out_bed = detect"	"sensor out_bed == 0"	"sensor"	"this trigger fires when your sensor detects that you get out of bed"
"185"	"Switched on"	"switch = turn on"	"switch == 3"	"home"	"this trigger fires when a knx device or binary switch is turn on"
"187"	"Scene started"	"home scene = start"	"home scene == 0"	"home"	"this trigger fires when a knx scene is started"
"190"	"Cooktop turn on"	"cook cooktop = turn on"	"cook cooktop == 0"	"cook"	"this trigger fires when your cooktop is turn on"
"191"	"Cooktop clock timer elapsed"	"cook cooktop_timer  = elapsed"	"cook cooktop_timer == 0"	"cook"	"this trigger fires when the clock timer on your cooktop has elapsed"
"192"	"Child lock deactivated"	"cook child_lock = deactivate"	"cook child_lock == 0"	"cook"	"this triggers fires every time the child lock has deactivated"
"193"	"Cooking sensor battery empty"	"cook sensor_battery = empty"	"cook sensor_battery == 0"	"cook"	"this trigger fires when the cooking sensor battery is empty"
"194"	"Your Timer goes off"	"speaker timer = goes off"	"speaker timer == 0"	"speaker"	"this trigger fires when your timer goes off"
"198"	"Device is plugged in"	"phone = plug in"	"phone == 1"	"phone"	"this trigger fires when your android device is plugged in"
"200"	"Freezer temperature too high"	"refrigerator temperature = high"	"refrigerator temperature == 1"	"refrigerator"	"this trigger fires when your freezer temperature is too high"
"201"	"Freezer door open too long"	"refrigerator door = open"	"refrigerator door == 0"	"refrigerator"	"this trigger fires when your freezer door was left open too long"
"203"	"Refrigerator door open"	"refrigerator door = open"	"refrigerator door == 0"	"refrigerator"	"this trigger fires when your refrigerator door has been open"
"204"	"We detect that the home is empty"	"home mode = empty"	"home mode == 8"	"home"	"this trigger fires when every family member has left"
"206"	"At least one person arrives home"	"home mode = change"	"home mode == 7"	"home"	"this trigger fires when at least one family member has come home"
"208"	"Motion detect"	"sensor motion_detection = detect"	"sensor motion_detection == 2"	"home"	"this trigger fires when motion is detect"
"210"	"We detect that someone has woken up"	"home everyone = wake_up"	"home everyone == 0"	"home"	"this trigger fires when everyone has woken up"
"215"	"Temperature reading received"	"sensor temperature = read"	"sensor temperature == 0"	"home"	"this trigger fires when a specific sensor reads the temperature"
"219"	"Water leak detect"	"water leak = detect"	"water leak == 0"	"home"	"this trigger fires when a water leak is detect"
"222"	"Dishwasher turn off"	"dishwasher = turn off"	"dishwasher == 0"	"dishwasher"	"this trigger fires when your dishwasher is turn off"
"236"	"Roxxter started"	"cleaning_robot = start"	"cleaning_robot == 0"	"cleaning_robot"	"this trigger fires when your roxxter has started"
"237"	"Cookit started"	"cook cookit = start"	"cook cookit == 2"	"cook"	"this trigger fires when your cookit has started"
"238"	"Cookit finished"	"cook cookit = finish"	"cook cookit == 1"	"cook"	"this trigger fires when your cookit has finished successfully"
"240"	"Cookit turn on"	"cook cookit = turn on"	"cook cookit == 0"	"cook"	"this trigger fires when your cookit is turn on"
"243"	"Current UV index rise above"	"weather uv = greater value"	"weather uv > 0"	"weather"	"this trigger fires when the uv index rise above the value   (0-16)"
"244"	"Brightness drops below"	"light brightness_level = less value"	"light brightness_level < 0"	"home"	"this trigger fires when the your home device detects brightness below a value  "
"245"	"Temperature rise above"	"thermostat temperature  = greater value"	"thermostat temperature > 0"	"thermostat"	"this trigger fires when the temperature rise above a value  "
"248"	"A Flow has been started"	"home flow = start"	"home flow == 0"	"home"	"this trigger is run every time a specific flow has been started on home"
"253"	"New event added"	"time new_event = add"	"time new_event == 0"	"time"	"this trigger fires when a new event is added to your time"
"260"	"Device Connects"	"wifi device = connect"	"wifi device == 0"	"wifi"	"this trigger fires when a previously-connected device connects to your wifi"
"261"	"Camera has a problem"	"camera problem = occur"	"camera problem == 0"	"camera"	"this trigger fires when a netatmo welcome or a netatmo presence encounters an issue"
"262"	"A person has been seen outside"	"camera person = detect"	"camera person == 0"	"camera"	"this trigger fires when your netatmo presence detects a person outside"
"263"	"Smoke detect"	"camera smoke = detect"	"camera smoke == 0"	"camera"	"this trigger fires when smoke is detect"
"265"	"Someone unknown has been seen"	"camera person = detect"	"camera person == 0"	"camera"	"this trigger fires when the netatmo welcome detects an unknown person"
"266"	"Camera has been switched off"	"camera = turn off"	"camera == 2"	"camera"	"this trigger fires when a netatmo welcome or a netatmo presence is switched off"
"267"	"Someone known arrives home"	"camera person = detect"	"camera person == 0"	"camera"	"this trigger fires when someone already identified by the camera arrives home"
"268"	"A specific person arrives home"	"camera person = detect"	"camera person == 0"	"camera"	"this trigger fires when a specific person arrives home"
"269"	"Motion has been detect"	"sensor motion_detection = detect"	"sensor motion_detection == 2"	"camera"	"this trigger fires when your camera detects motion"
"271"	"A vehicle has been seen outside"	"camera vehicle = detect"	"camera vehicle == 0"	"camera"	"this trigger fires when your netatmo presence detects a vehicle outside"
"273"	"Someone known has been seen"	"camera person = detect"	"camera person == 0"	"camera"	"this trigger fires when the netatmo welcome detects a person that has already been identified"
"278"	"System detects an intrusion"	"sensor intrusion = detect"	"sensor intrusion == 0"	"home"	"this trigger fires when your home security system detects an intrusion"
"280"	"System is partially arm"	"home security_mode = arm"	"home security_mode == 0"	"home"	"this trigger fires when your home security system is partially arm"
"282"	"System is arm"	"home security_mode = arm"	"home security_mode == 0"	"home"	"this trigger fires when your home security system is arm"
"283"	"System is disabled"	"home security_mode = disarm"	"home security_mode == 1"	"home"	"this trigger fires when your home security system is disabled"
"286"	"System detects a household risk"	"home security_mode = detect risk"	"home security_mode == 4"	"home"	"this trigger fires when your home security system detects a household risk"
"287"	"Connects to a specific WiFi network"	"phone wifi = connect"	"phone wifi == 0"	"phone"	"this trigger fires when your phone connects to a wifi network  "
"289"	"Battery warning"	"lock battery = critical"	"lock battery == 0"	"lock"	"this trigger fires every week, if the battery state of the smart lock is critical"
"290"	"Arrive home"	"lock = unlock"	"lock == 1"	"lock"	"this trigger fires when someone unlocks the door with auto unlock"
"291"	"Leave home"	"lock = lock"	"lock == 0"	"lock"	"this trigger fires when someone locks the door with lock 'n' go by pressing the button on the smart lock twice"
"293"	"Calibration warning"	"lock = uncalibrated"	"lock == 2"	"lock"	"this trigger fires when the smart lock state change to uncalibrated"
"304"	"arm"	"home security_mode = arm"	"home security_mode == 0"	"home"	"this trigger fires when home is arm"
"306"	"disarm"	"home security_mode = disarm"	"home security_mode == 1"	"home"	"this trigger fires when home is disarm"
"308"	"arm in stay mode"	"home mode = stay"	"home mode == 1"	"home"	"this trigger fires when home is arm in stay mode"
"310"	"Emergency detect"	"home emergency_event = send"	"home emergency_event == 0"	"home"	"this trigger fires when home sends an emergency event"
"316"	"New Motion detect"	"sensor motion_detection = detect"	"sensor motion_detection == 2"	"ring"	"this trigger fires when a motion is detect at the given doorbell"
"321"	"Distance to home"	"car = come home"	"car == 2"	"car"	"this trigger fires when the satnav comes within a given distance of your home"
"323"	"Distance to work"	"car = come work"	"car == 0"	"car"	"this trigger fires when the satnav comes within a given distance of your work"
"326"	"New event added to any calendar"	"calendar event = add"	"calendar event == 1"	"text"	"this trigger fires when a new event is added to any of your calendars"
"343"	"Humidity rise above value"	"air humidity = greater value"	"air humidity > 1"	"heater"	"this trigger fires when the humidity rise above a user-defined value"
"346"	"Stone press"	"switch = press"	"switch == 1"	"switch"	"this trigger fires when you press the stone"
"352"	"Temperature drops below"	"air temperature = less value"	"air temperature < 0"	"home"	"this trigger fires when your local room temperature drops below a given value"
"353"	"Notification"	"thermostat notification = create"	"thermostat notification == 0"	"home"	"this trigger fires whenever a notification is created by your heating system"
"354"	"Humidity rise above"	"air humidity = greater value"	"air humidity > 1"	"home"	"this trigger fires when your indoor humidity rise above a given value"
"355"	"Room temperature changed"	"air temperature = change"	"air temperature == 4"	"home"	"this trigger fires when the room temperature change by a pre-selected amount"
"356"	"Humidity drops below"	"air humidity = less value"	"air humidity < 0"	"home"	"this trigger fires when your local humidity drops below a given value"
"357"	"Away Mode"	"home mode = away"	"home mode == 5"	"home"	"this trigger fires when away mode is on"
"358"	"Temperature rise above"	"air temperature = greater value"	"air temperature > 1"	"home"	"this trigger fires when your local room temperature exceeds a given value"
"359"	"Home Mode"	"home mode = home"	"home mode == 0"	"home"	"this trigger fires when home mode is on"
"360"	"Humidity rise above value"	"air humidity = greater value"	"air humidity > 1"	"AC"	"this trigger fires when the humidity rise above a user-defined value"
"363"	"Temperature rise above value"	"air temperature = greater value"	"air temperature > 1"	"sensor"	"this trigger fires when temperature rise above the specified value"
"365"	"Temperature falls below value"	"air temperature = less value"	"air temperature < 0"	"AC"	"this trigger fires when the room temperature falls below a user-defined value"
"367"	"Temperature rise above value"	"air temperature = greater value"	"air temperature > 1"	"AC"	"this trigger fires when the room temperature rise above a user-defined value"
"369"	"System arm"	"home security_mode = arm"	"home security_mode == 0"	"home"	"this trigger fires when your home system is arm to away mode with no one in the house"
"370"	"tado⁠° switches to Away Mode"	"home mode = away"	"home mode == 5"	"AC"	"this trigger fires when the last person leaves your home and tado⁠° switches to away mode"
"371"	"tado⁠° switches to Home Mode"	"home mode = home"	"home mode == 0"	"AC"	"this trigger fires when tado⁠° switches to home mode"
"373"	"tado⁠° switches to Home Mode"	"home mode = home"	"home mode == 0"	"heater"	"this trigger fires when tado⁠° switches to home mode"
"374"	"Current condition change to"	"weather = change"	"weather == 0"	"weather"	"this trigger monitors change in the current weather condition"
"376"	"Smoke alarm"	"sensor smoke = detect"	"sensor smoke == 0"	"home"	"this trigger fires when the device connected to home home center  detects smoke"
"377"	"CO alarm"	"sensor co = detect"	"sensor co == 0"	"home"	"this trigger fires when the device connected to home home center detects co"
"378"	"Low battery level"	"sensor battery = low"	"sensor battery == 0"	"home"	"this trigger fires when the device connected to home home center reports low battery level"
"380"	"The button"	"switch = press"	"switch == 1"	"home"	"this trigger fires when the button connected to home home center is pressed as specified"
"384"	"iHome Enhance button is pressed"	"sensor smoke = detect"	"sensor smoke == 0"	"switch"	"this trigger fires when an switch button is pressed"
"388"	"Zone turn on"	"device = turn on"	"device == 2"	"home"	"this trigger fires when a mitsubishi electric zone turn on"
"389"	"Zone turn off"	"device = turn off"	"device == 7"	"home"	"this trigger fires when a mitsubishi electric zone turn off"
"390"	"Scene ran"	"home scene = start"	"home scene == 0"	"home"	"this trigger fires when a home scene has run"
"391"	"Order out for delivery"	"cook order = delivery"	"cook order == 4"	"cook"	"this trigger fires when your order is out for delivery"
"392"	"Alarm activated"	"siren = turn on"	"siren == 0"	"home"	"this trigger fires when an home alarm is active"
"396"	"Device or group is turn on"	"device = turn on"	"device == 2"	"home"	"this trigger fires when the specified device/group is turn on"
"397"	"Device or group is turn off"	"device = turn off"	"device == 7"	"home"	"this trigger fires when the specified device/group is turn off"
"405"	"Motion is detect"	"sensor motion_detection = detect"	"sensor motion_detection == 2"	"camera"	"this trigger fires when a camera cam detects motion"
"406"	"Doorbell Ring"	"door doorbell = press"	"door doorbell == 0"	"door"	"this trigger fires when someone unknown rings the doorbell connected to the opener"
"407"	"Battery warning"	"door battery = critical"	"door battery == 0"	"door"	"this trigger fires every week, if the battery state of the door is critical"
"408"	"Door open"	"door = open"	"door == 2"	"door"	"this trigger fires when someone directly opens a door with the door"
"409"	"Arrive home"	"door = close"	"door == 0"	"door"	"this trigger fires when someone unlocks the door with auto unlock"
"412"	"Any event ends"	"time = event  end"	"time == 1"	"time"	"this trigger fires within 15 minutes of the ending time of an event on your time"
"413"	"Ring to Open"	"door = open"	"door == 2"	"door"	"this trigger fires when someone opens a door using ring to open"
"420"	"Temperature exceeds limit"	"air temperature = greater value"	"air temperature > 1"	"home"	"this trigger fires when room temperature exceeds the limits"
"422"	"Motion Sensor detects motion"	"sensor motion_detection = detect"	"sensor motion_detection == 2"	"camera"	"this trigger fires when a motion sensor detects motion"
"433"	"Motion detect by Aura"	"sensor motion_detection = detect"	"sensor motion_detection == 2"	"sensor"	"this trigger fires if sensor detects motion"
"442"	"Nest set to Home"	"thermostat mode = home"	"thermostat mode == 0"	"thermostat"	"this trigger fires when the home   is set to home"
"443"	"Water is detect"	"water leak = detect"	"water leak == 0"	"home"	"this trigger fires when your d-link water sensor detects a leak event"
"444"	"Sound is detect"	"camera sound = detect"	"camera sound == 0"	"home"	"this trigger fires when your d-link camera detects a sound event"
"445"	"Motion is detect"	"sensor motion_detection = detect"	"sensor motion_detection == 2"	"home"	"this trigger fires when your d-link device detects a motion event"
"448"	"Water is no longer detect"	"sensor water = no waetr"	"sensor water == 0"	"home"	"this trigger fires when your d-link water sensor no longer detects water"
"449"	"Contact open is detect"	"device event = detect"	"device event == 0"	"home"	"this trigger fires when your d-link device detects a contact open event"
"455"	"Alarm occurs on system"	"siren = turn on"	"siren == 0"	"home"	"this trigger fires when an alarm is triggered on your system"
"456"	"Temperature drops below"	"air temperature = less value"	"air temperature < 0"	"thermostat"	"this trigger fires when the temperature drops above a value  "
"460"	"Door or window is close"	"door = close"	"door == 0"	"home"	"this trigger fires when a specified motion sensor tag(s) or reed sensor(s) detect that a door or window is close"
"463"	"New motion after quiet period"	"sensor motion_detection = detect"	"sensor motion_detection == 2"	"sensor"	"this trigger fires when your sensor sensor detects new motion after a specific period of inactivity"
"464"	"Any new motion"	"sensor motion_detection = detect"	"sensor motion_detection == 2"	"sensor"	"this trigger fires when your sensor sensor detects new motion"
"472"	"New event from search ends"	"time = event  end"	"time == 1"	"time"	"this trigger fires within 15 minutes of the ending time of an event on your time that contains a specific keyword or phrase"
"475"	"Trigger call received"	"phone call = receive"	"phone call == 2"	"phone"	"this trigger fires when we receive your phone call"
"478"	"Alarm triggered"	"siren = turn on"	"siren == 0"	"home"	"this trigger fires when the alarm for a specific mode is triggered"
"480"	"Mode arm"	"home security_mode = arm"	"home security_mode == 0"	"home"	"this trigger fires when a mode is arm"
"482"	"Mode disarm"	"home security_mode = disarm"	"home security_mode == 1"	"home"	"this trigger fires when a mode is disarm"
"483"	"Door panel open"	"door = open"	"door == 2"	"home"	"this trigger fires when any or a specific door panel is open"
"484"	"Alarm dismissed"	"siren = turn off"	"siren == 3"	"home"	"this trigger fires when the alarm for a specific mode is dismissed"
"486"	"Access sensor open"	"sensor = turn on"	"sensor == 2"	"home"	"this trigger fires when any or a specific access sensor is open"
"488"	"Mode changed"	"home mode = change"	"home mode == 7"	"home"	"this trigger fires when your home system mode is changed (away, home, standby)"
"492"	"Door open"	"door = open"	"door == 2"	"home"	"this trigger fires when the selected door is open"
"495"	"Lock unlock by specific person"	"lock = unlock"	"lock == 1"	"lock"	"this trigger fires when your lock is unlock by a specific person"
"500"	"System is disarm"	"home security_mode = disarm"	"home security_mode == 1"	"home"	"this trigger fires when your home security system is disarm"
"501"	"System is arm"	"home security_mode = arm"	"home security_mode == 0"	"home"	"this trigger fires when your home security system is arm"
"514"	"Recording ended"	"camera recording = end"	"camera recording == 1"	"camera"	"this trigger fires when a recording ends"
"517"	"Sensor offline"	"sensor = offline"	"sensor == 1"	"sensor"	"this trigger fires when the sensor sensor is offline"
"519"	"Device turn on"	"device = turn on"	"device == 2"	"home"	"this trigger fires when your home device turn on"
"520"	"Mode change"	"home mode = change "	"home mode == 7"	"home"	"this trigger fires when the home mode change"
"521"	"Device turn off"	"device = turn off"	"device == 7"	"home"	"this trigger fires when your home device turn off"
"522"	"Motion detect"	"sensor motion_detection = detect"	"sensor motion_detection == 2"	"home"	"this trigger fires when your home camera detects motion"
"523"	"Temperature drops below"	"air temperature = less value"	"air temperature < 0"	"home"	"this trigger fires when the temperature drops below the specified value"
"526"	"Water is detect"	"sensor water = detect"	"sensor water == 1"	"home"	"this trigger fires when your home device detects water"
"527"	"Motion is detect"	"sensor motion_detection = detect"	"sensor motion_detection == 2"	"home"	"this trigger fires when new motion is detect"
"528"	"Contact Sensor opens"	"sensor = turn on"	"sensor == 2"	"camera"	"this trigger fires when a contact sensor opens"
"530"	"Contact Sensor closes"	"sensor = turn off"	"sensor == 5"	"camera"	"this trigger fires when a contact sensor closes"
"532"	"New sound or motion event"	"sensor motion_detection = detect"	"sensor motion_detection == 2"	"camera"	"this trigger fires when the camera detects a sound or motion event"
"533"	"Sensor detects water"	"sensor water = detect"	"sensor water == 1"	"home"	"this trigger fires when specified water sensor tag detects water with its resistive sensor, or when you short circuit its tip"
"535"	"An alarm event"	"home alarm_event = occur"	"home alarm_event == 0"	"home"	"this trigger fires when a home alarm event occurs"
"537"	"A sensor event"	"sensor activity = detect"	"sensor activity == 0"	"home"	"this trigger fires when a home sensor notices activity in the home"
"539"	"Drying complete"	"dryer cycle = end"	"dryer cycle == 0"	"dryer"	"this trigger fires when your drying has been complete on your lg smart dryer"
"540"	"Washing complete"	"washer cycle = end"	"washer cycle == 0"	"washer"	"this trigger fires when your washing has been complete on your lg smart washer"
"541"	"A change in arm state"	"home mode = change"	"home mode == 7"	"home"	"this trigger fires whenever the home system arm state change"
"542"	"A device or network issue"	"device = offline"	"device == 1"	"home"	"this trigger fires when an issue occurs, such as low battery, device offline, etc"
"543"	"Lock locked"	"lock = lock"	"lock == 0"	"lock"	"this trigger fires when the specified lock is locked"
"544"	"Door open"	"door = open"	"door == 2"	"home"	"this trigger fires when a door is open"
"548"	"turn off"	"device = turn off"	"device == 7"	"home"	"this trigger fires when the specified product turn off"
"549"	"turn on"	"device = turn on"	"device == 2"	"home"	"this trigger fires when the specified product turn on"
"553"	"Ambient temperature reached"	"air temperature = not equal value"	"air temperature != 8"	"home"	"this trigger fires when the ambient temperature read on your device is above or below the configured value"
"554"	"Thermostat temperature set"	"air temperature = not equal value"	"air temperature != 8"	"home"	"this trigger fires when your thermostat target temperature is set above or below the specified value"
"556"	"Device State change"	"device state =change"	"device state == 0"	"home"	"this trigger fires  once device state changed"
"562"	"Motion detect"	"sensor motion_detection = detect"	"sensor motion_detection == 2"	"camera"	"this trigger fires when your camera camera detects motion"
"566"	"Window/Door Sensor (iSB04) is change"	"door = change"	"door == 1"	"home"	"this trigger fires based on open/close detection"
"567"	"Motion Sensor (iSB01) detects motion (or absence of motion)"	"sensor motion_detection = detect"	"sensor motion_detection == 2"	"home"	"this trigger fires based on motion detection"
"568"	"Leak Sensor (iSB02) detects leak (or absence of leak)"	"water leak = detect"	"water leak == 0"	"home"	"this trigger fires based on the detection of a leak"
"570"	"Temperature rise above or Drops below"	"air temperature = not equal value"	"air temperature != 8"	"sensor"	"this trigger monitors the sensor device's built-in temperature sensor readings and fires whenever the temperature rise above or drops below the value  "
"571"	"Multi-Sensor (iSS50) detects light (or absence of light)"	"sensor light = detect"	"sensor light == 1"	"home"	"this trigger fires based on light detection"
"572"	"The alarm panel has triggered an alert"	"siren = turn on"	"siren == 0"	"home"	"this trigger fires an alert when your alarm panel has an alarm"
"573"	"Multi-Sensor (iSS50) crosses a humidity value"	"air humidity = greater value "	"air humidity > 1"	"home"	"this trigger fires when a humidity value is crossed"
"574"	"Multi-Sensor (iSS50) detects occupancy change"	"sensor occupancy = change"	"sensor occupancy == 0"	"home"	"this trigger fires when occupancy is detect or no occupancy is detect"
"575"	"The alarm panel has been arm"	"siren = arm"	"siren == 1"	"home"	"this trigger fires when when your alarm panel is arm"
"576"	"Multi-Sensor (iSS50) crosses a temperature value"	"air temperature = greater value"	"air temperature > 1"	"home"	"this trigger fires when a temperature value is crossed"
"577"	"The alarm panel has been disarm"	"siren = disarm"	"siren == 2"	"home"	"this trigger fires when when your alarm panel is disarm"
"578"	"Multi-Sensor (iSS50) detects sound (or absence of sound)"	"sensor sound = detect"	"sensor sound == 0"	"home"	"this trigger fires based on sound detection"
