"actionID"	"name"	"exp"	"z3exp"	"upname"	"description"
"87"	"Power on group"	"device = turn on"	"device == 2"	"home"	"this action will turn on a whole group of mi|device simultaneously"
"88"	"Power on device"	"device = turn on"	"device == 2"	"home"	"this action will turn on your device"
"90"	"Power off group"	"device = turn off"	"device == 7"	"home"	"this action will turn off a whole group of mi|device simultaneously"
"91"	"Power off device"	"device = turn off"	"device == 7"	"home"	"this action will turn off   your mi|device"
"97"	"Set State to 'Yes'"	"home state = yes"	"home state == 1"	"home"	"this action will set a innogy smarthome state to 'yes'"
"98"	"Set State to 'No'"	"home state = no"	"home state == 0"	"home"	"this action will set a innogy smarthome state to 'no'"
"104"	"Launch a scene"	"home scene = start"	"home scene == 0"	"home"	"this action will launch a scene in your home"
"105"	"Control a roller shutter"	"shutter = set"	"shutter == 1"	"home"	"this action will control a roller shutter in your home"
"106"	"Control my home's roller shutters"	"shutter = set"	"shutter == 1"	"home"	"this action control all your roller shutters in a home"
"108"	"Start program"	"washer program = start"	"washer program == 1"	"washer"	"this action will start the selected washer program with your preferred settings"
"111"	"Quick add event"	"time event = add"	"time event == 1"	"time"	"this action will add an event to your time"
"112"	"Play music"	"phone music = play"	"phone music == 0"	"phone"	"this action will play music on your phone"
"113"	"Pause program"	"washer program = pause"	"washer program == 0"	"washer"	"this action will pause the active washer program"
"117"	"Turn off dryer"	"dryer = turn off"	"dryer == 0"	"dryer"	"this action will turn off your dryer"
"120"	"Pause program"	"dryer program = pause"	"dryer program == 0"	"dryer"	"this action will pause the active dryer program"
"121"	"Start automatic program"	"dryer program = start"	"dryer program == 1"	"dryer"	"this action will start the selected automatic program with your preferred settings"
"124"	"Start selected program"	"dryer program = start"	"dryer program == 1"	"dryer"	"this action will start the dryer program selected on the appliance"
"126"	"Start time program"	"dryer program = start"	"dryer program == 1"	"dryer"	"this action will start the selected time program"
"128"	"Start coffee program"	"coffee_machine program = start"	"coffee_machine program == 0"	"coffee_machine"	"this action will start the selected coffee program"
"129"	"Turn on coffee machine"	"coffee_machine = turn on"	"coffee_machine == 0"	"coffee_machine"	"this action will turn on your coffee machine"
"133"	"Record video"	"camera recording = start"	"camera recording == 2"	"camera"	"this action will record a video clip for the scene"
"134"	"Take snapshots"	"camera snapshots = take"	"camera snapshots == 0"	"camera"	"this action will take snapshots for the scene"
"136"	"Receive event from sensor"	"camera event = create"	"camera event == 0"	"camera"	"this action will create an event from the specified sensor"
"142"	"Turn on room"	"light = turn on"	"light == 0"	"light"	"this action will turn on  light in a room"
"144"	"Turn  light on"	"light = turn on"	"light == 0"	"light"	"this action will turn your  light on"
"145"	"Turn  light off"	"light = turn off"	"light == 4"	"light"	"this action will turn your  light off"
"146"	"Change scene"	"home scene = change"	"home scene == 2"	"home"	"this action will change the scene in a room"
"147"	"Activate Scene"	"home scene = start"	"home scene == 0"	"home"	"this action will activate an individual room scene"
"150"	"Turn off functional light"	"light = turn off"	"light == 4"	"home"	"this action will turn off the functional light of your hood"
"151"	"DIM HALO Home  light"	"light = dim"	"light == 1"	"home"	"this action will dim the home  light"
"152"	"Turn OFF HALO Home  light"	"light = turn off"	"light == 4"	"home"	"this action will turn off the home light"
"153"	"Turn ON HALO Home  light"	"light = turn on"	"light == 0"	"home"	"this action will turn on the home light"
"154"	"Turn HALO Home Scene ON"	"home scene = start"	"home scene == 0"	"home"	"this action will turn on the home scene"
"155"	"CCT Control HALO Home  light"	"light color = change"	"light color == 1"	"home"	"this action will change the color of home  light"
"159"	"Close motor device"	"motor = close"	"motor == 0"	"home"	"this action will close a motor device"
"160"	"Activate a scene"	"home scene = gateway"	"home scene == 3"	"home"	"this action will activate a gateway scene"
"161"	"End activity"	"home activity = end"	"home activity == 0"	"home"	"this action will end the home home activity you specify"
"163"	"Turn device on"	"device = turn on"	"device == 2"	"home"	"this action will turn device on"
"167"	"Set motor device position"	"motor position = set"	"motor position == 0"	"home"	"this action will set motor device position to a desired value"
"170"	"Security mode"	"home security_mode = change"	"home security_mode == 2"	"home"	"this action will change the security mode of your home"
"171"	"Turn heating off"	"heater = turn off"	"heater == 3"	"heater"	"this action will turn your heating off"
"172"	"Turn AC unit off"	"AC = turn off"	"AC == 1"	"AC"	"this action will turn off your daikin ac unit"
"178"	"turn on"	"switch = turn on"	"switch == 3"	"home"	"this action will turn on a device or binary switch"
"182"	"ALL VALVES: stop watering"	"irrigator valves = close"	"irrigator valves == 0"	"home"	"this action will close all valves of your irrigation control"
"184"	"Set brightness level"	"light brightness_level = set"	"light brightness_level == 1"	"home"	"this action will set the brightness level of a light"
"189"	"Launch Scenario"	"home scene = start"	"home scene == 0"	"home"	"this action will launch a scenario through home smart home app"
"197"	"Mute ringtone"	"phone ringtone = mute"	"phone ringtone == 1"	"phone"	"this action will mute your phone's ringtone"
"199"	"Activate refrigerator Super Freezing mode"	"refrigerator power = cool"	"refrigerator power == 0"	"refrigerator"	"this action will temporarily cool the refrigerator at maximum power"
"202"	"Activate refrigerator Super Cooling mode"	"refrigerator power = cool"	"refrigerator power == 0"	"refrigerator"	"this action will temporarily cool the refrigerator at maximum power"
"205"	"Set to away mode"	"home mode = away"	"home mode == 5"	"thermostat"	"this action will set your home to away mode"
"207"	"Start cleaning"	"sweeper = start"	"sweeper == 0"	"sweeper"	"this action will start cleaning with your sweeper connected robot vacuum"
"209"	"Pause"	"speaker = pause"	"speaker == 4"	"speaker"	"this action will pause playback"
"211"	"Brew coffee"	"coffee_machine brew = start"	"coffee_machine brew == 1"	"cook"	"this action will brew coffee"
"212"	"Turn device on"	"device = turn on"	"device == 2"	"home"	"this action will turn a device on given a name"
"213"	"Turn device off"	"device = turn off"	"device == 7"	"home"	"this action will turn a device off given a name"
"214"	"Stop cleaning"	"sweeper = stop"	"sweeper == 3"	"sweeper"	"this action will stop cleaning with your sweeper connected robot vacuum"
"216"	"Move blinds"	"shutter = close"	"shutter == 0"	"shutter"	"this action will move the blinds to the defined position and angle"
"217"	"Turn off"	"switch = turn off"	"switch == 5"	"switch"	"this action will turn a wemo turn off"
"221"	"Set refrigerator temperature"	"refrigerator temperature = 4"	"refrigerator temperature == 0"	"refrigerator"	"this action will set the refrigerator temperature"
"223"	"Turn AC off"	"AC = turn off"	"AC == 1"	"AC"	"this action will turn your ac off"
"224"	"Turn A/C off"	"AC = turn off"	"AC == 1"	"AC"	"this action will turn your ac off"
"225"	"Switch schedule"	"thermostat schedule = change"	"thermostat schedule == 3"	"thermostat"	"this action will change the schedule for the corresponding home"
"226"	"Turn heating on"	"heater = turn on"	"heater == 1"	"heater"	"this action will start your heating"
"227"	"Start Heat Mode"	"AC mode = heat"	"AC mode == 0"	"AC"	"this action will set your ac to heat mode"
"228"	"Set temperature"	"air temperature  = value"	"air temperature == 8"	"thermostat"	"this action will set a thermostat to the temperature you specify"
"229"	"Set temperature range"	"air temperature  = value"	"air temperature == 8"	"thermostat"	"this action will set a thermostat in heat-cool mode to the temperature range you specify"
"230"	"Turn A/C on"	"AC = turn on"	"AC == 0"	"AC"	"this action will  turn your a/c on"
"231"	"Turn on A/C"	"AC = turn on"	"AC == 0"	"AC"	"this action will turn your ac a/c on"
"232"	"Set to manual mode"	"thermostat mode = manual"	"thermostat mode == 12"	"thermostat"	"this action will set your thermostat to manual mode"
"235"	"Resume program"	"cleaning_robot program = resume"	"cleaning_robot program == 0"	"cleaning_robot"	"this action will resume the paused program"
"241"	"Turn on hood"	"hood = turn on"	"hood == 0"	"home"	"this action will turn on your hood with the default program"
"242"	"Set shade position"	"shutter = close"	"shutter == 0"	"home"	"this action will move the shades to given position"
"246"	"Start a Flow"	"home flow = start"	"home flow == 0"	"home"	"this action will start a flow on home"
"249"	"Start a Flow with Tags"	"home flow = start"	"home flow == 0"	"home"	"this action will start a flow with tags on home"
"254"	"Turn on"	"device = turn on"	"device == 2"	"home"	"this action will turn on the device/group of your choosing"
"255"	"Turn off"	"device = turn off"	"device == 7"	"home"	"this action will turn off the device/group of your choosing"
"264"	"Set home empty"	"home mode = empty"	"home mode == 8"	"camera"	"this action will tell netatmo welcome everybody has left the house"
"272"	"Open garage door"	"garage door = open"	"garage door == 1"	"garage"	"this action will open the garage door you specify"
"274"	"Set light color"	"light color = set"	"light color == 0"	"home"	"this action will set the light to specified color"
"276"	"Disable your system"	"home security_mode = disarm"	"home security_mode == 1"	"home"	"this action will disable your myfox security system"
"277"	"Play a scenario"	"home mode = home"	"home mode == 0"	"home"	"this action will play the selected scenario"
"281"	"Arm your system"	"home security_mode = arm"	"home security_mode == 0"	"home"	"this action will arm your myfox security system"
"284"	"Partially arm your system"	"home security_mode = arm"	"home security_mode == 0"	"home"	"this action will partially arm your myfox security system"
"288"	"Secure your home"	"home security_mode = arm"	"home security_mode == 0"	"home"	"this action will secure your home by arming your home"
"292"	"Open door"	"door = open"	"door == 2"	"lock"	"this action will open the door by pulling the latch"
"294"	"Lock door"	"door = close"	"door == 0"	"lock"	"this action will lock the door"
"295"	"Turn on Bluetooth"	"phone bluetooth = turn on"	"phone bluetooth == 0"	"phone"	"this action will turn on your phone's bluetooth"
"296"	"Turn on WiFi"	"wifi = turn on"	"wifi == 0"	"phone"	"this action will turn on your phone's wifi"
"297"	"Unlock door"	"door = open"	"door == 2"	"lock"	"this action will unlock the door"
"298"	"Lock 'n' Go door"	"door = open"	"door == 2"	"lock"	"this action will perform a lock 'n' go command, which unlocks your door and locks it again after a certain time"
"300"	"Set Volume"	"speaker volume = set"	"speaker volume == 2"	"speaker"	"this action will set volume of speaker player"
"301"	"Arm away"	"home mode = away"	"home mode == 5"	"home"	"this action will arm your home system to away mode when no one is in the house"
"302"	"Disarm"	"home security_mode = disarm"	"home security_mode == 1"	"home"	"this action will disarm your home system for anyone to enter or exit the house"
"303"	"Disarm system"	"home security_mode = disarm"	"home security_mode == 1"	"home"	"this action will disarm a home system"
"305"	"Close garage door"	"garage door = close"	"garage door == 0"	"garage"	"this action will close the garage door"
"309"	"Activate shortcut"	"home shortcut = activate"	"home shortcut == 1"	"home"	"this action will activate the shortcut you specify"
"311"	"Turn on switch"	"switch = turn on"	"switch == 3"	"home"	"this action will turn a home turn on"
"312"	"Arm system"	"home security_mode = arm"	"home security_mode == 0"	"home"	"this action will arm a home system"
"313"	"Turn on color loop"	"light colorloop = turn on"	"light colorloop == 0"	"light"	"this action will turn on a slow color loop effect for your light  light"
"315"	"Dim  light"	"light = dim"	"light == 1"	"light"	"this action will dim or brighten your light  light to a value between 0-100"
"317"	"Set temperature"	"air temperature  = value"	"air temperature == 8"	"thermostat"	"this action will set your thermostat to a specified temperature"
"324"	"Start preparing hot water"	"water hot = turn on"	"water hot == 0"	"water"	"this action will start preparing your hot water"
"327"	"Open door"	"garage door = open"	"garage door == 1"	"garage"	"this action will open the garage door"
"329"	"Set ringtone volume"	"phone ringtone = 50"	"phone ringtone == 0"	"phone"	"this action will set the ringtone volume of your phone"
"330"	"Activate Scene"	"home scene = start"	"home scene == 0"	"home"	"this action will activate the specified scene"
"332"	"Play a specific song"	"phone music = play"	"phone music == 0"	"phone"	"this action will play a song you specify on your phone"
"333"	"Start activity"	"home activity = start"	"home activity == 1"	"home"	"this action will start the home activity you specify"
"335"	"Launch a TaHoma scenario"	"home scene = start"	"home scene == 0"	"home"	"this action will launch a home scenario"
"337"	"turn on"	"device = turn on"	"device == 2"	"home"	"this action will turn on your device"
"340"	"Create task"	"text task = create"	"text task == 0"	"text"	"this action will create a new task in the project you specify"
"341"	"Add reminder to list"	"text list = add"	"text list == 0"	"text"	"this action will add a new reminder to the list you specify"
"342"	"Arm system"	"home security_mode = arm"	"home security_mode == 0"	"home"	"this action will set your home system to armed"
"344"	"Return to tado⁠° automatic control"	"water hot = turn on"	"water hot == 0"	"water"	"this action will return control of your hot water to tado⁠°, using your user-defined settings"
"345"	"Turn hot water off"	"water hot = turn off"	"water hot == 2"	"water"	"this action will turn your hot water off"
"347"	"Play radio preset"	"speaker = recall"	"speaker == 2"	"speaker"	"this action will recall and start playback of an internet radio preset stored in a speaker player"
"349"	"Turn on AC "	"AC = turn on"	"AC == 0"	"home"	"this action will turn on your AC  and set target temperature, ac operation mode and air volume settings"
"350"	"Turn off AC "	"AC = turn off"	"AC == 1"	"home"	"this action will turn off your AC "
"351"	"Execute scene"	"home scene = start"	"home scene == 0"	"home"	"this action will execute a scene to control multiple appliances at once"
"361"	"Start Dry Mode"	"AC mode = dry"	"AC mode == 9"	"AC"	"this action will set your ac to dry mode"
"362"	"Return to tado⁠° automatic control"	"AC mode = heat"	"AC mode == 0"	"AC"	"this action will return control of your heating to tado⁠°, using your user-defined settings"
"364"	"Start Auto Mode"	"AC mode = auto"	"AC mode == 3"	"AC"	"this action will set your ac to auto mode"
"366"	"Start Cool Mode"	"AC mode = cool"	"AC mode == 7"	"AC"	"this action will set your ac to cool mode"
"368"	"Close shade"	"shutter = close"	"shutter == 0"	"shutter"	"this action will close your shade"
"375"	"Run scene"	"home scene = start"	"home scene == 0"	"home"	"this action will run the scene created on home home center"
"382"	"Run a Leviton Activity"	"home activity = start"	"home activity == 1"	"home"	"this action will run a home activity"
"383"	"Set thermostat comfort profile until next transition"	"thermostat setting = hold"	"thermostat setting == 0"	"thermostat"	"this action will set the thermostat into a hold using the settings from the specified comfort profile"
"385"	"Run a Leviton Scene"	"home scene = start"	"home scene == 0"	"home"	"this action will run a home scene"
"386"	"Turn on a Leviton Room"	"device = turn on"	"device == 2"	"home"	"this action will turn on all device"
"387"	"Turn off a Leviton Room"	"device = turn off"	"device == 7"	"home"	"this action will turn off all device"
"394"	"Turn on a device"	"device = turn on"	"device == 2"	"home"	"turn on a device "
"395"	"Turn off a device"	"device = turn off"	"device == 7"	"home"	"turn off a device "
"398"	"Activate scene"	"home scene = start"	"home scene == 0"	"home"	"this action will activate a selected scene from your account"
"400"	"Change color"	"light color = change"	"light color == 1"	"home"	"this action will change the color of a light bulb"
"402"	"Turn on"	"device = turn on"	"device == 2"	"home"	"this action will turn on a device"
"403"	"Toggle"	"device = change"	"device == 4"	"home"	"this action will toggle a device"
"404"	"Turn off"	"device = turn off"	"device == 7"	"home"	"this action will turn off a selected device"
"410"	"Activate Continuous Mode"	"door ringmode = continuous"	"door ringmode == 0"	"door"	"this action will activate ring to open in continuous mode"
"411"	"Deactivate Continuous Mode"	"light color = change"	"light color == 1"	"door"	"this action will deactivate the continuous mode for ring to open"
"414"	"Start recording"	"camera = turn on"	"camera == 0"	"camera"	"this action will start recording with the selected camera"
"415"	"Activate Ring to Open"	"door ringmode = open"	"door ringmode == 1"	"door"	"this action will activate ring to open which will open the door automatically when somebody rings the doorbell in a preset timeframe"
"417"	"Run activity"	"home activity = start"	"home activity == 1"	"home"	"this action runs a maestro activity"
"418"	"Set home status"	"home mode= change"	"home mode == 7"	"home"	"this action changes the home's status of the selected residence"
"419"	"Set setpoint"	"thermostat setpoint  = value"	"thermostat setpoint == 0"	"home"	"this action sets the selected thermostat's setpoint"
"423"	"Turn on  light"	"light = turn on"	"light == 0"	"light"	"this action will turn on your light  light"
"424"	"Turn off  light"	"light = turn off"	"light == 4"	"light"	"this action will turn off your light  light"
"425"	"Turn on notifications"	"camera notification = turn on"	"camera notification == 0"	"camera"	"this action will turn on notifications for your camera alerts"
"426"	"Turn off notifications"	"camera notification = turn off"	"camera notification == 1"	"camera"	"this action will turn off notifications for your camera alerts"
"427"	"Enable motion detection"	"siren motion_detection = turn on"	"siren motion_detection == 0"	"camera"	"this action will turn on your device's motion detection"
"428"	"Disable motion detection"	"siren motion_detection = turn off"	"siren motion_detection == 1"	"camera"	"this action will turn off your device's motion detection"
"429"	"Turn off device"	"camera = turn off"	"camera == 2"	"camera"	"this action will turn off your selected camera"
"430"	"Turn on device"	"camera = turn on"	"camera == 0"	"camera"	"this action will turn on your selected camera"
"431"	"Turn plug on"	"camera plug = turn on"	"camera plug == 0"	"camera"	"this action will turn the plug on"
"432"	"Turn bulb on"	"camera bulb = turn on"	"camera bulb == 0"	"camera"	"this action will turn the bulb on"
"435"	"Disarm system"	"home security_mode = disarm"	"home security_mode == 1"	"home"	"this action will set your home system to disarmed"
"437"	"Mute adjustment"	"phone ringtone = mute"	"phone ringtone == 1"	"home"	"this action adjust your device to mute or unmute"
"439"	"Activate scene"	"light scene = turn on"	"light scene == 0"	"light"	"this action will adjust multiple  light and shades together by activating a scene created in the lutron app"
"440"	"Turn on then off"	"switch = turn on"	"switch == 3"	"switch"	"this action will turn a wemo turn on then immediately back off"
"441"	"Start an event"	"light event = start"	"light event == 0"	"light"	"this action will start an event"
"446"	"Turn water off"	"water = turn off"	"water == 1"	"water"	"this action will turn your home’s water off"
"447"	"Turn on plug"	"plug = turn on"	"plug == 0"	"home"	"this action will turn on your d-link smart plug"
"450"	"Set Valve State"	"water valve = allow"	"water valve == 1"	"water"	"this action will allow you to manually open and close the valve on the leak detector"
"451"	"Trip Leak Alarm"	"water leak_alarm = turn on"	"water leak_alarm == 0"	"water"	"this action will trip the leak alarm on the leak detector"
"453"	"Mute/Unmute my projector"	"projector = mute"	"projector == 0"	"projector"	"this action will mute/unmute my projector"
"454"	"Create a detailed event"	"time event = create"	"time event == 0"	"time"	"this action will create a detailed event in your time"
"457"	"Turn neoPlug on"	"plug = turn on"	"plug == 0"	"thermostat"	"this action will allow you to turn on the selected neoplug"
"458"	"Set temperature hold"	"air temperature  = value"	"air temperature == 8"	"thermostat"	"this action will enable a temperature hold on the thermostat"
"459"	"Set Standby Mode"	"thermostat mode = standby"	"thermostat mode == 5"	"thermostat"	"this action will activate standby mode on the selected thermostat"
"461"	"Cancel Standby Mode"	"thermostat mode = cancel"	"thermostat mode == 13"	"thermostat"	"this action will cancel standby mode on the selected thermostat"
"462"	"Set Temperature"	"air temperature  = value"	"air temperature == 8"	"thermostat"	"the action will set the temperature on the selected thermostat"
"465"	"Turn on"	"light = turn on"	"light == 0"	"light"	"this action will turn a light on"
"466"	"Turn on Hive View monitoring"	"camera = turn on"	"camera == 0"	"camera"	"this action will turn your camera camera monitoring on"
"468"	"Turn  light on"	"light = turn on"	"light == 0"	"light"	"this action will turn your  light on"
"469"	"Change color"	"light color = change"	"light color == 1"	"light"	"this action will change your  light to a specified color"
"470"	"Turn  light off"	"light = turn off"	"light == 4"	"light"	"this action will turn your  light off"
"471"	"Blink  light"	"light = blink"	"light == 3"	"light"	"this action will make your  light quickly blink the color of your choice"
"473"	"Disarm a mode"	"home security_mode = disarm"	"home security_mode == 1"	"home"	"this action will disarm a mode at your location of choice "
"474"	"Start arming a mode"	"home security_mode = arm"	"home security_mode == 0"	"home"	"this action will arm a mode at your location of choice "
"476"	"Disarm all modes"	"home security_mode = disarm"	"home security_mode == 1"	"home"	"this action will disarm any mode at your location"
"477"	"Turn off siren"	"siren = turn off"	"siren == 3"	"home"	"this action will turn off the siren in the scout hub and scout door panels"
"481"	"Change Mode"	"home mode = change"	"home mode == 7"	"home"	"this action will change home's mode"
"485"	"Turn off a device"	"switch = turn off"	"switch == 5"	"home"	"this action will turn off your home switches,  light, sirens, strobes, etc"
"487"	"Chirp"	"hub chirp = make"	"hub chirp == 0"	"home"	"this action will make the hub chirp"
"489"	"Arm"	"camera mode = arm"	"camera mode == 0"	"camera"	"this action will set your camera mode to armed"
"490"	"Change mode"	"home mode = change"	"home mode == 7"	"home"	"this action will change your home system to the selected system mode"
"491"	"Disarm"	"camera mode = disarm"	"camera mode == 1"	"camera"	"this action will set your camera mode to disarmed"
"493"	"Turn on switch"	"switch = turn on"	"switch == 3"	"home"	"this action will turn on the selected switch"
"494"	"Turn off switch"	"switch = turn off"	"switch == 5"	"home"	"this action will turn off the selected switch"
"496"	"Activate Multiple Room Scene"	"home scene = start"	"home scene == 0"	"home"	"this action will activate a multiple room scene"
"497"	"Unlock"	"device = unlock"	"device == 5"	"home"	"this action will unlock your device"
"499"	"Lock"	"device = lock"	"device == 0"	"home"	"this action will lock your device"
"508"	"Arm system"	"home security_mode = arm"	"home security_mode == 0"	"home"	"this action will set your blink system to armed"
"509"	"Disarm system"	"home security_mode = disarm"	"home security_mode == 1"	"home"	"this action will set your blink system to disarmed"
"510"	"Enable recording"	"camera recording = start"	"camera recording == 2"	"camera"	"this action will enable recording"
"511"	"Disable recording"	"camera recording = stop"	"camera recording == 0"	"camera"	"this action will disable recording [live view will still be accessible]"
"512"	"Turn on camera"	"camera = turn on"	"camera == 0"	"camera"	"this action will turn the camera on"
"513"	"Start recording"	"camera recording = start"	"camera recording == 2"	"camera"	"this action will start a new recording"
"515"	"Add photo to album"	"phone album = save"	"phone album == 0"	"text"	"this action will save a new photo to the album you specify"
"516"	"Turn off camera"	"camera = turn off"	"camera == 2"	"camera"	"this action will turn the camera off"
"518"	"Turn on a device"	"device = turn on"	"device == 2"	"home"	"this action will turn on a device attached to your home elevation system"
"524"	"Dim a device"	"device dim_level = change"	"device dim_level == 0"	"home"	"this action will change a device's dimmer level"
"525"	"Lock a device"	"device = lock"	"device == 0"	"home"	"this action will lock a device"
"529"	"Open a device"	"device = turn on"	"device == 2"	"home"	"this action will open a device"
"531"	"Close a device"	"device = turn off"	"device == 7"	"home"	"this action will close a device"
"534"	"Arm system"	"home security_mode  = arm"	"home security_mode == 0"	"home"	"this action will arm the home security system"
"536"	"Turn on a light"	"light = turn on"	"light == 0"	"home"	"this action will turn on a light"
"538"	"Turn on"	"light = turn on"	"light == 0"	"light"	"this action will turn on the selected light"
"545"	"Turn off"	"device = turn off"	"device == 7"	"home"	"this action will turn the specified product off"
"546"	"Turn on"	"device = turn on"	"device == 2"	"home"	"this action will turn the specified product on"
"547"	"Turn night light on"	"night_light = turn on"	"night_light == 0"	"home"	"this action will turn the specified product's night light on"
"550"	"Turn night light off"	"night_light = turn off"	"night_light == 1"	"home"	"this action will turn the specified product's night light off"
"551"	"Set thermostat target temperature"	"air temperature  = value"	"air temperature == 8"	"home"	"this action will set the target temperature of your thermostat"
"552"	"Adjust brightness"	"light brightness_level= set"	"light brightness_level == 1"	"home"	"this action will set the percentage of brightness for the specified product"
"557"	"Restart device"	"camera = turn off"	"camera == 2"	"camera"	"this action will restart your selected camera"
"558"	"Set bulb brightness"	"camera bulb brightness = change"	"camera bulb brightness == 0"	"camera"	"this action will change the brightness of the bulb"
"559"	"Set bulb color temperature"	"camera bulb color_temperature = change"	"camera bulb color_temperature == 0"	"camera"	"this action will change the color temperature of the bulb"
"560"	"Turn bulb off"	"camera bulb = turn off"	"camera bulb == 1"	"camera"	"this action will turn the bulb off"
"561"	"Record a short video clip"	"camera recording = start"	"camera recording == 2"	"camera"	"this action will record an alert video and store it on the cloud"
"563"	"Start recording"	"camera recording = start"	"camera recording == 2"	"camera"	"this action will start your camera camera"
"564"	"Stop recording"	"camera recording = stop"	"camera recording == 0"	"camera"	"this action will stop your camera camera from recording"
"579"	"Run a Nexia automation"	"home automation = run"	"home automation == 0"	"home"	"this action will run a home automation"
"584"	"Start washer cycle"	"washer cycle = start"	"washer cycle == 1"	"washer"	"this action will launch the next scheduled cycle on your washer"
"586"	"Set operating mode"	"water hot mode = set"	"water hot mode == 2"	"water_heater"	"this action will set the operating mode of your ge water heater"
"587"	"Display Notification"	"clock notification = display"	"clock notification == 0"	"clock"	"this action will display notification on your clock time"
"588"	"Set Clock Face"	"clock face = set"	"clock face == 0"	"clock"	"this action will set or update a clock face on your clock device"
"591"	"Update Indicator App"	"clock indicator_app = update"	"clock indicator_app == 0"	"clock"	"this action will update the indicator app on your clock time"
"602"	"Display Sticky Notification"	"clock notification = display"	"clock notification == 0"	"clock"	"this action will display notification on your clock device"
"604"	"Turn off"	"switch = turn off"	"switch == 5"	"switch"	"this action will turn a wemo turn off"
"605"	"Start Timer"	"clock timer= start"	"clock timer == 2"	"clock"	"this action will start the timer on a clock device"
"606"	"Reset Timer"	"clock timer = reset"	"clock timer == 1"	"clock"	"this action will reset the timer on a clock device"
"611"	"Brew coffee"	"coffee_machine brew = start"	"coffee_machine brew == 1"	"coffee_machine"	"this action will start a brew cycle with your coffeemaker"
"613"	"Turn on"	"switch = turn on"	"switch == 3"	"switch"	"this action will turn a turn on"
"620"	"Set a wireless accessory dimmer level"	"light = dim"	"light == 1"	"home"	"this action will dim or brighten your wireless accessory with dimmer control"
"621"	"Change security mode"	"home security_mode = arm"	"home security_mode == 0"	"home"	"this action will arm or disarm your home"
"630"	"Boost ventilation"	"home ventilation_speed = boost"	"home ventilation_speed == 0"	"home"	"this action will temporarily boost the ventilation speed"
"633"	"Increase Indoor Temperature"	"air temperature  = value"	"air temperature == 8"	"thermostat"	"this action will attempt to increase the indoor temperature of an thermostat by the number of degrees specified"
"636"	"Set Fan to ON"	"thermostat fan = turn on"	"thermostat fan == 0"	"thermostat"	"this action will set my thermostat's fan to on indefinitely"
"637"	"Close door"	"garage door = close"	"garage door == 0"	"garage"	"this action will close the garage door"
"639"	"Toggle myStrom device"	"device = change"	"device == 4"	"home"	"this action will toggle   your device"
"641"	"myStrom device off"	"device = turn off"	"device == 7"	"home"	"this action will turn off   your device"
"642"	"Set scene"	"home scene = start"	"home scene == 0"	"home"	"this action will execute predefined scene"
"643"	"myStrom device on"	"device = turn on"	"device == 2"	"home"	"this action will turn on   your device"
"645"	"Turn Off Privacy Mode"	"camera privacy_mode = turn off"	"camera privacy_mode == 1"	"camera"	"this action will turn off camera's privacy mode"
