
t_action
actionId	deviceId	attribute	newValue
352	82	equipment status	1
353	82	wind speed	2
354	81	equipment status	1
355	91	equipment status	1
356	77	equipment status	1
357	79	equipment status	4
358	81	equipment status	2
360	107	equipment status	1
361	95	equipment status	2
362	102	equipment status	1
363	74	equipment status	2
364	75	equipment status	2
365	77	equipment status	1
366	79	temperature	27
367	81	equipment status	1
368	82	equipment status	1
369	83	equipment status	1
370	85	equipment status	1
371	91	equipment status	1
372	93	equipment status	1
373	74	equipment status	1
374	75	equipment status	1
375	77	equipment status	2
376	78	equipment status	2
377	79	equipment status	1
378	81	equipment status	2
379	82	equipment status	2
380	83	equipment status	2
381	84	equipment status	2
382	85	equipment status	2
383	86	equipment status	1
384	87	equipment status	2
385	89	equipment status	1
386	90	equipment status	2
387	91	equipment status	2
388	92	equipment status	2
389	93	equipment status	2
390	90	equipment status	1
391	85	equipment status	1
392	76	equipment status	4
393	82	equipment status	2
394	82	equipment status	1
395	74	equipment status	2
396	82	wind speed	3
397	93	equipment status	2
398	78	screen brightness	4
399	106	equipment status	1
400	101	equipment status	1
401	107	equipment status	1
402	96	equipment status	1
403	108	equipment status	1
404	77	equipment status	1
405	76	equipment status	1
406	82	wind speed	3
407	110	equipment status	1
412	79	temperature	twenty three
413	76	equipment status	1
414	77	equipment status	1
415	81	timing	3
416	78	volume	4
417	77	equipment status	1
418	99	temperature	25
421	91	equipment status	2
422	75	equipment status	1
423	87	equipment status	1
424	84	equipment status	1
425	75	equipment status	1
427	82	equipment status	1
428	82	equipment status	2
429	76	equipment status	4
430	91	equipment status	2
431	92	equipment status	2
432	85	equipment status	1
434	76	equipment status	1
435	76	equipment status	4
436	84	equipment status	2
437	79	equipment status	1
438	90	volume	17
439	79	temperature	26
440	79	equipment status	4
441	79	wind speed	4
442	76	equipment status	4
443	84	equipment status	2
445	101	equipment status	1
446	96	equipment status	1
447	107	equipment status	1
449	103	equipment status	1
450	106	equipment status	1
451	96	equipment status	2
452	105	equipment status	2
453	99	equipment status	1
454	107	equipment status	2
455	113	equipment status	3
457	111	equipment status	2
458	111	equipment status	2
459	111	equipment status	1
460	120	volume	8
461	112	equipment status	1
462	91	equipment status	1
463	79	temperature	26
465	91	equipment status	1
466	82	equipment status	1
467	79	equipment status	4
468	74	equipment status	1
469	80	equipment status	1
470	81	equipment status	1
471	90	equipment status	1
472	90	volume	12
473	93	equipment status	1
474	82	wind speed	1
475	79	equipment status	4
476	79	wind speed	2
477	85	equipment status	2
478	84	equipment status	1
480	97	equipment status	1
481	95	equipment status	1
482	98	equipment status	1
484	99	equipment status	4
485	97	equipment status	1
487	103	equipment status	1
488	96	equipment status	1
490	111	equipment status	2
491	79	equipment status	3
492	113	equipment status	3
493	112	equipment status	2
494	110	equipment status	1
496	116	equipment status	4
497	84	equipment status	2
498	76	equipment status	4
499	115	timing	4
500	115	equipment status	1
501	120	equipment status	1
502	120	volume	6
503	96	equipment status	1
504	75	equipment status	1
505	92	equipment status	1
506	73	equipment status	1
507	79	equipment status	4
508	92	equipment status	1
509	76	equipment status	3
510	84	equipment status	1
511	92	equipment status	2
512	108	equipment status	1
513	108	equipment status	2
514	104	equipment status	2
516	98	screen brightness	6
517	106	equipment status	1
518	116	equipment status	4
520	117	equipment status	1
521	115	equipment status	1
522	111	equipment status	2
523	112	equipment status	2
524	79	equipment status	4
525	122	equipment status	2
526	84	equipment status	1
527	85	equipment status	1
528	85	equipment status	2
529	77	equipment status	2
530	77	equipment status	1
531	74	equipment status	1
532	86	equipment status	1
533	90	equipment status	1
534	79	equipment status	1
535	84	equipment status	2
536	78	equipment status	2
537	91	equipment status	2
538	87	equipment status	2
539	99	equipment status	4
541	107	equipment status	2
542	103	equipment status	2
543	104	equipment status	2
544	99	equipment status	1
545	106	equipment status	2
546	73	equipment status	1
550	112	equipment status	2
551	116	equipment status	4
552	115	timing	2
553	116	equipment status	4
554	116	equipment status	3
555	96	equipment status	2
556	99	equipment status	1
557	106	equipment status	2
558	102	equipment status	2
559	111	equipment status	2
560	73	equipment status	1
561	74	equipment status	1
562	111	equipment status	1
563	76	equipment status	1
564	120	equipment status	1
565	80	equipment status	1
566	112	equipment status	1
567	83	model	2
568	94	equipment status	1
569	113	equipment status	3
570	95	equipment status	1
571	96	equipment status	1
572	98	screen brightness	6
573	99	temperature	25
574	99	wind speed	4
575	104	equipment status	1
576	110	equipment status	1
577	79	temperature	25
578	115	equipment status	2
579	116	equipment status	1
580	117	equipment status	2
581	110	equipment status	2
582	116	equipment status	1
583	99	temperature	25
584	117	equipment status	2
585	119	equipment status	1
586	111	equipment status	1
592	86	equipment status	1
593	82	equipment status	1
595	81	equipment status	1
596	82	equipment status	1
597	92	equipment status	1
598	91	equipment status	1
599	98	equipment status	1
600	104	equipment status	1
601	106	equipment status	1
602	96	equipment status	1
603	107	equipment status	2
605	97	equipment status	2
607	113	equipment status	2
609	117	equipment status	1
610	112	equipment status	2
611	115	equipment status	1
612	76	equipment status	2
613	79	equipment status	4
614	79	equipment status	3
615	84	equipment status	1
616	116	equipment status	4
617	116	equipment status	3
618	77	equipment status	1
619	82	equipment status	1
620	74	equipment status	2
621	90	equipment status	1
622	90	equipment status	1
623	90	volume	19
624	79	equipment status	4
625	79	temperature	26
626	79	wind speed	4
627	84	equipment status	1
628	81	equipment status	1
629	74	equipment status	2
630	107	equipment status	1
631	106	equipment status	1
632	99	equipment status	4
633	97	equipment status	1
634	95	equipment status	2
635	109	equipment status	2
636	111	equipment status	1
637	112	equipment status	1
638	111	equipment status	1
639	111	equipment status	2
640	111	equipment status	2
641	110	equipment status	1
644	78	volume	4
645	115	equipment status	1
646	115	timing	6
647	76	equipment status	1
648	113	equipment status	2
650	111	equipment status	1
651	76	equipment status	2
652	115	timing	4
654	122	equipment status	1
655	113	equipment status	3
656	119	equipment status	1
659	121	equipment status	1
660	95	equipment status	2
661	83	model	2
662	97	equipment status	1
663	105	equipment status	1
664	95	equipment status	1
665	99	temperature	26
666	98	equipment status	1
667	101	equipment status	1
668	109	equipment status	2
669	107	equipment status	2
670	108	equipment status	2
671	74	equipment status	1
672	83	equipment status	1
673	75	equipment status	1
674	91	equipment status	2
675	94	equipment status	2
676	91	equipment status	2
677	77	equipment status	1
678	85	equipment status	1
679	87	equipment status	1
680	73	equipment status	1
681	79	equipment status	1
682	115	timing	2
683	111	equipment status	1
684	110	equipment status	1
685	116	equipment status	1
686	115	timing	2
687	121	equipment status	2
688	107	equipment status	1
689	116	equipment status	4
690	74	equipment status	1
691	75	equipment status	1
692	79	equipment status	3
693	115	equipment status	1
694	91	equipment status	1
695	83	equipment status	1
696	82	equipment status	1
697	82	wind speed	2
698	74	equipment status	1
699	86	equipment status	1
700	113	equipment status	3
701	77	equipment status	1
702	98	equipment status	1
703	96	equipment status	1
704	101	equipment status	1
705	101	equipment status	2
706	99	equipment status	4
707	99	Timing	3
708	104	equipment status	2
709	112	equipment status	1
710	104	equipment status	1
711	95	equipment status	1
712	99	equipment status	1
713	107	equipment status	2
714	104	equipment status	2
715	95	equipment status	2
717	112	equipment status	1
718	120	equipment status	1
719	120	volume	6
720	121	equipment status	2
721	110	equipment status	1
722	116	equipment status	3
723	111	equipment status	2
726	101	equipment status	1
727	108	equipment status	2
728	96	equipment status	1
729	106	equipment status	1
730	108	equipment status	1
731	109	equipment status	1
732	86	equipment status	1
733	113	equipment status	1
734	74	equipment status	1
735	82	wind speed	2
736	77	equipment status	1
737	103	equipment status	2
738	79	temperature	20
739	74	equipment status	2
740	83	model	2
741	104	equipment status	1
742	90	volume	11
743	79	equipment status	1
744	107	equipment status	1
745	79	temperature	25
746	99	equipment status	1
747	82	equipment status	1
748	89	equipment status	1
749	83	equipment status	1
750	85	equipment status	1
751	91	equipment status	1
752	86	equipment status	1
753	76	equipment status	2
754	74	equipment status	2
755	79	equipment status	4
756	82	equipment status	1
758	75	equipment status	1
759	91	equipment status	2
760	74	equipment status	2
761	82	equipment status	1
762	110	equipment status	1
763	74	equipment status	1
764	91	equipment status	1
765	87	equipment status	2
766	75	equipment status	1
767	89	equipment status	1
768	77	equipment status	1
769	75	equipment status	1
770	92	equipment status	1
771	80	equipment status	1
772	79	equipment status	4
773	79	wind speed	2
774	82	wind speed	4
775	78	equipment status	1
776	104	equipment status	1
777	96	equipment status	1
778	97	equipment status	1
779	109	equipment status	1
780	103	equipment status	1
781	101	equipment status	1
782	117	equipment status	1
783	78	volume	4
784	86	equipment status	1
785	123	equipment status	1
787	111	equipment status	2
788	78	equipment status	2
789	87	equipment status	2
790	117	equipment status	1
791	77	equipment status	1
792	115	equipment status	1
793	111	equipment status	2
794	110	equipment status	2
796	91	equipment status	1
797	79	equipment status	1
798	91	equipment status	1
799	92	equipment status	2
800	82	equipment status	1
801	87	equipment status	2
802	79	temperature	25
803	83	model	1
804	76	equipment status	2
805	75	equipment status	1
806	79	temperature	twenty four
807	74	equipment status	1
808	121	equipment status	1
809	83	model	2
810	120	volume	8
811	97	equipment status	1
812	83	model	1
813	95	equipment status	2
814	99	temperature	26
815	99	wind speed	4
816	99	Timing	9
817	99	equipment status	5
818	83	model	1
819	96	equipment status	1
820	104	equipment status	1
821	116	temperature	26
822	122	equipment status	1
823	111	equipment status	2
824	115	equipment status	1
825	115	equipment status	1
826	111	equipment status	2
827	111	equipment status	1
828	110	equipment status	1
829	112	equipment status	1
830	82	equipment status	1
831	79	equipment status	2
832	109	equipment status	1
833	99	equipment status	1
835	103	equipment status	2
836	77	equipment status	1
837	96	equipment status	1
838	99	temperature	25
839	77	equipment status	2
840	99	equipment status	3
841	103	equipment status	1
842	75	equipment status	2
843	90	equipment status	1
844	90	volume	11
845	108	equipment status	1
846	97	equipment status	2
847	95	equipment status	2
848	102	equipment status	1
849	75	equipment status	1
850	74	equipment status	2
851	101	equipment status	2
852	79	temperature	26
853	98	equipment status	2
854	99	wind speed	1
855	76	equipment status	4
857	119	equipment status	2
858	74	equipment status	1
859	82	equipment status	1
860	86	equipment status	1
861	114	screen brightness	7
862	112	equipment status	2
863	98	equipment status	1
864	85	equipment status	1
865	119	equipment status	2
866	98	screen brightness	8
867	96	equipment status	1
868	116	temperature	25
869	121	equipment status	2
870	84	equipment status	1
871	99	equipment status	1
872	82	equipment status	1
873	108	equipment status	2
874	86	equipment status	1
875	99	equipment status	4
876	99	wind speed	2
877	111	equipment status	2
878	93	equipment status	1
879	112	equipment status	1
880	74	equipment status	2
881	120	equipment status	1
882	112	equipment status	1
883	117	equipment status	1
884	87	equipment status	1
885	112	equipment status	2
886	90	volume	11
887	79	temperature	26
888	110	equipment status	1
889	115	equipment status	1
890	116	equipment status	1
891	116	equipment status	1
892	111	equipment status	2
893	116	equipment status	4
894	100	equipment status	1
895	99	equipment status	1
896	107	equipment status	2
897	82	equipment status	2
898	96	equipment status	1
899	102	equipment status	1
900	107	equipment status	2
901	82	equipment status	1
902	75	equipment status	2
903	76	equipment status	1
904	75	equipment status	1
905	74	equipment status	2
906	82	equipment status	1
907	94	equipment status	1
908	91	equipment status	2
909	92	equipment status	2
910	74	equipment status	1
911	93	equipment status	1
912	83	equipment status	1
913	87	equipment status	2
914	86	equipment status	1
915	94	equipment status	1
916	92	equipment status	1
917	74	equipment status	2
918	77	equipment status	1
919	82	equipment status	1
920	86	equipment status	1
921	83	equipment status	1
922	81	equipment status	1
923	90	equipment status	1
924	91	equipment status	1
925	84	equipment status	3
926	120	volume	11
927	85	equipment status	2
928	91	equipment status	1
929	92	equipment status	1
930	75	equipment status	2
931	106	equipment status	1
932	87	equipment status	2
933	96	equipment status	1
934	74	equipment status	2
935	75	equipment status	1
936	82	wind speed	4
937	79	wind speed	3
938	75	equipment status	1
939	104	equipment status	1
940	74	equipment status	2
941	78	volume	8
942	75	equipment status	2
943	83	model	2
944	85	equipment status	1
945	94	equipment status	2
946	93	equipment status	2
947	73	equipment status	1
948	73	equipment status	2
949	95	equipment status	2
950	81	timing	4
951	83	equipment status	2
952	107	equipment status	2
953	106	equipment status	1
954	108	equipment status	1
955	98	equipment status	1
956	107	equipment status	
957	96	equipment status	1
958	95	equipment status	1
959	106	equipment status	1
960	99	equipment status	4
961	103	equipment status	1
962	101	equipment status	1
963	83	equipment status	1
964	97	equipment status	2
965	74	equipment status	2
966	104	equipment status	1
967	108	equipment status	1
968	106	equipment status	1
969	101	equipment status	1
970	80	equipment status	1
971	95	equipment status	2
972	100	equipment status	2
973	104	equipment status	1
974	80	equipment status	1
975	117	equipment status	2
976	112	equipment status	1
977	111	equipment status	2
978	108	equipment status	2
979	109	equipment status	2
980	107	equipment status	2
981	111	equipment status	1
982	74	equipment status	2
983	112	equipment status	1
984	83	equipment status	1
985	121	equipment status	2
986	121	equipment status	2
987	121	equipment status	1
988	74	equipment status	2
989	110	equipment status	1
990	110	equipment status	2
991	100	equipment status	1
992	111	equipment status	2
994	95	equipment status	2
995	115	equipment status	1
996	98	equipment status	1
997	111	equipment status	2
998	110	equipment status	1
999	120	equipment status	1
1000	117	equipment status	1
1001	115	equipment status	1
1002	121	equipment status	1
1003	116	equipment status	1
1004	117	equipment status	2
1005	115	equipment status	2
1006	96	equipment status	2
1007	95	equipment status	2
1008	98	equipment status	1
1009	111	equipment status	2
1010	117	equipment status	1
1011	111	equipment status	2
1012	113	equipment status	4
1013	116	equipment status	4
1014	111	equipment status	2
1021	74	equipment status	2
1022	112	equipment status	1
1023	104	equipment status	1
1024	79	equipment status	4
1025	79	equipment status	3
1026	92	equipment status	2
1027	78	equipment status	2
1028	93	equipment status	2
1029	78	equipment status	1
1030	78	equipment status	1
1031	99	equipment status	4
1032	99	temperature	twenty four
1033	109	equipment status	1
1034	101	equipment status	2
1035	108	equipment status	1
1036	109	equipment status	1
1037	97	equipment status	2
1038	117	equipment status	2
1039	121	equipment status	2
1040	114	volume	5
1041	116	equipment status	4
1042	116	temperature	twenty four
1043	110	equipment status	2
1044	116	equipment status	1
1045	114	screen brightness	6
1046	110	equipment status	1
1047	121	equipment status	2
1048	111	equipment status	2
1049	111	equipment status	1
1050	111	equipment status	1
1051	76	equipment status	1
1052	76	equipment status	4
1053	115	timing	4
1054	91	equipment status	1
1055	121	equipment status	2
1056	76	equipment status	4
1057	79	equipment status	1
1058	79	equipment status	1
1059	116	equipment status	1
1060	78	equipment status	2
1061	87	equipment status	2
1062	110	equipment status	2
1063	91	equipment status	2
1064	81	equipment status	2
1065	107	equipment status	2
1067	95	equipment status	2
1068	73	equipment status	1
1069	96	equipment status	2
1070	120	equipment status	1
1071	120	volume	7
1072	108	equipment status	2
1073	96	equipment status	1
1074	74	equipment status	1
1075	104	equipment status	2
1076	74	equipment status	1
1077	116	equipment status	1
1078	109	equipment status	1
1079	116	equipment status	1
1080	110	equipment status	1
1081	91	equipment status	1
1082	116	equipment status	1
1084	110	equipment status	2
1085	116	equipment status	1
1086	79	temperature	26
1087	117	equipment status	1
1088	74	equipment status	2
1089	91	equipment status	1
1090	103	equipment status	1
1091	75	equipment status	1
1092	74	equipment status	1
1093	79	temperature	26
1094	91	equipment status	2
1095	96	equipment status	1
1096	86	equipment status	1
1097	104	equipment status	1
1098	77	equipment status	1
1100	86	equipment status	1
1101	82	equipment status	1
1102	92	equipment status	1
1103	82	wind speed	3
1104	74	equipment status	1
1105	82	Timing	7
1106	79	temperature	26
1107	99	equipment status	4
1108	77	equipment status	1
1109	101	equipment status	1
1110	102	equipment status	1
1111	107	equipment status	1
1112	75	equipment status	2
1113	95	equipment status	2
1114	84	equipment status	1
1115	97	equipment status	2
1116	110	equipment status	1
1117	90	equipment status	1
1118	120	equipment status	1
1119	115	equipment status	1
1120	111	equipment status	1
1121	85	equipment status	1
1122	119	equipment status	1
1123	96	equipment status	1
1124	98	equipment status	1
1125	120	volume	3
1126	99	temperature	26
1127	109	equipment status	2
1129	79	equipment status	4
1130	103	equipment status	1
1131	97	equipment status	2
1132	102	wind speed	4
1135	117	equipment status	1
1136	111	equipment status	2
1138	82	equipment status	1
1139	110	equipment status	1
1141	82	Timing	2
1142	118	equipment status	1
1145	79	equipment status	4
1146	120	volume	1
1147	76	equipment status	4
1148	76	equipment status	4
1150	115	equipment status	1
1151	86	equipment status	1
1152	90	volume	1
1153	88	equipment status	1
1154	88	equipment status	1
1155	117	equipment status	1
1156	105	equipment status	1
1157	105	equipment status	1
1158	107	equipment status	1
1159	107	equipment status	1
1161	106	equipment status	1
1162	82	wind speed	3
1164	119	equipment status	1
1165	111	equipment status	1
1166	113	equipment status	1
1167	119	equipment status	1
1168	112	equipment status	1
1169	115	equipment status	1
1173	112	equipment status	2
1174	74	equipment status	2
1175	116	equipment status	4
1176	117	equipment status	1
1177	111	equipment status	2
1178	111	equipment status	2
1179	106	equipment status	1
1180	104	equipment status	2
1181	96	equipment status	1
1182	103	equipment status	1
1183	95	equipment status	2
1184	102	equipment status	1
1185	82	equipment status	1
1188	74	equipment status	2
1189	86	equipment status	1
1190	77	equipment status	1
1191	83	equipment status	1
1192	79	equipment status	4
1193	84	equipment status	1
1194	74	equipment status	2
1195	93	equipment status	1
1196	91	equipment status	2
1197	81	equipment status	1
1198	76	equipment status	4
1199	77	equipment status	2
1200	115	equipment status	1
1201	82	equipment status	1
1203	110	equipment status	1
1205	76	equipment status	2
1206	79	temperature	26
1207	91	equipment status	2
1208	112	equipment status	1
1210	113	equipment status	3
1211	94	equipment status	2
1212	90	equipment status	1
1213	120	equipment status	1
1214	90	equipment status	1
1215	86	equipment status	1
1216	84	equipment status	1
1217	96	equipment status	1
1218	99	temperature	26
1219	98	equipment status	1
1220	96	equipment status	1
1221	106	equipment status	1
1222	98	equipment status	1
1223	107	equipment status	1
1224	106	equipment status	1
1225	103	equipment status	1
1226	108	equipment status	1
1227	107	equipment status	2
1228	101	equipment status	1
1229	102	equipment status	1
1230	113	equipment status	1
1231	82	equipment status	1
1232	112	equipment status	1
1233	116	equipment status	1
1234	79	equipment status	4
1235	117	equipment status	1
1236	121	equipment status	2
1237	84	equipment status	1
1238	115	equipment status	1
1239	94	equipment status	2
1240	111	equipment status	2
1241	77	equipment status	1
1242	91	equipment status	1
1243	75	equipment status	2
1244	74	equipment status	2
1245	76	equipment status	2
1246	83	model	2
1247	73	equipment status	1
1248	79	temperature	26
1249	75	equipment status	1
1250	91	equipment status	1
1251	91	equipment status	2
1252	86	equipment status	1
1253	107	equipment status	2
1254	104	equipment status	2
1255	73	equipment status	2
1256	74	equipment status	2
1257	78	equipment status	2
1258	79	temperature	30
1259	82	equipment status	1
1260	82	wind speed	2
1261	99	temperature	26
1262	98	equipment status	2
1263	96	equipment status	2
1264	75	equipment status	2
1265	91	equipment status	2
1266	95	equipment status	2
1267	107	equipment status	2
1268	92	equipment status	1
1269	97	equipment status	1
1270	110	equipment status	1
1271	111	equipment status	2
1272	74	equipment status	2
1273	116	wind speed	1
1274	115	equipment status	1
1275	83	equipment status	1
1276	83	model	2
1277	85	equipment status	1
1278	79	equipment status	4
1279	82	equipment status	2
1280	79	equipment status	4
1281	79	temperature	26
1282	79	wind speed	2
1283	75	equipment status	1
1284	91	equipment status	1
1285	77	equipment status	1
1286	74	equipment status	1
1287	82	equipment status	1
1288	75	equipment status	1
1289	73	equipment status	1
1290	84	equipment status	1
1291	106	equipment status	1
1292	98	screen brightness	6
1293	103	equipment status	1
1294	111	equipment status	1
1295	102	equipment status	1
1296	96	equipment status	1
1297	104	equipment status	1
1298	104	equipment status	2
1299	110	equipment status	2
1300	111	equipment status	2
1301	117	equipment status	1
1302	121	equipment status	2
1303	112	equipment status	1
1304	111	equipment status	1
1305	81	timing	2
1306	82	Timing	3
1307	74	equipment status	1
1308	86	equipment status	1
1309	94	equipment status	1
1311	95	equipment status	2
1312	106	equipment status	1
1313	108	equipment status	1
1314	107	equipment status	1
1315	99	temperature	26
1316	95	equipment status	2
1317	112	equipment status	1
1318	115	timing	2
1319	111	equipment status	2
1320	113	equipment status	1
1321	110	equipment status	2
1322	112	equipment status	2
1323	74	equipment status	1
1324	74	equipment status	1
1325	82	equipment status	1
1326	82	wind speed	2
1327	74	equipment status	2
1328	77	equipment status	1
1329	79	equipment status	4
1330	74	equipment status	2
1331	84	equipment status	1
1332	81	equipment status	1
1333	83	equipment status	1
1334	98	equipment status	1
1335	96	equipment status	1
1336	108	equipment status	2
1337	99	equipment status	1
1338	97	equipment status	2
1339	95	equipment status	2
1340	116	equipment status	4
1341	116	temperature	26
1342	116	wind speed	2
1343	112	equipment status	1
1344	116	equipment status	1
1345	112	equipment status	2
1346	110	equipment status	1
1347	117	equipment status	1
1348	86	equipment status	1
1349	113	equipment status	1
1350	83	equipment status	1
1351	83	model	2
1352	83	model	2
1353	112	equipment status	2
1354	77	equipment status	2
1355	100	equipment status	2
1356	74	equipment status	1
1357	74	equipment status	1
1358	76	equipment status	2
1359	76	equipment status	1
1360	79	equipment status	4
1361	84	equipment status	1
1362	91	equipment status	1
1363	92	equipment status	1
1364	78	equipment status	1
1365	91	equipment status	2
1367	81	equipment status	1
1368	85	equipment status	1
1369	74	equipment status	2
1370	120	equipment status	1
1371	120	volume	7
1372	110	equipment status	1
1373	98	equipment status	1
1374	77	equipment status	1
1377	120	volume	9
1378	116	temperature	26
1379	117	equipment status	1
1381	79	temperature	26
1382	84	equipment status	1
1383	92	equipment status	1
1384	110	equipment status	1
1385	111	equipment status	1
1386	121	equipment status	1
1387	111	equipment status	2
1388	114	equipment status	2
1389	82	equipment status	1
1390	92	equipment status	1
1391	91	equipment status	1
1392	92	equipment status	2
1393	108	equipment status	1
1394	106	equipment status	1
1395	107	equipment status	2
1396	98	equipment status	1
1397	95	equipment status	1
1398	103	equipment status	1
1399	103	equipment status	2
1404	116	equipment status	4
1405	116	equipment status	3
1406	110	equipment status	1
1407	120	volume	11
1408	113	equipment status	3
1409	117	equipment status	1
1410	82	wind speed	2
1411	91	equipment status	1
1412	82	wind speed	1
1413	94	equipment status	1
1414	85	equipment status	1
1415	82	wind speed	3
1416	107	equipment status	1
1417	109	equipment status	1
1418	99	equipment status	4
1419	99	equipment status	3
1422	96	equipment status	1
1423	97	equipment status	1
1424	84	equipment status	1
1425	79	equipment status	4
1426	90	volume	1
1429	78	equipment status	1
1430	80	equipment status	1
1431	98	equipment status	1
1432	97	equipment status	1
1433	122	equipment status	1
1434	96	equipment status	1
1435	76	equipment status	1
1436	75	equipment status	1
1437	75	equipment status	1
1438	73	equipment status	1
1439	99	equipment status	4
1440	74	equipment status	1
1441	76	equipment status	4
1442	110	equipment status	2
1443	97	equipment status	1
1444	97	equipment status	2
1445	98	equipment status	2
1446	99	equipment status	1
1447	104	equipment status	2
1448	73	equipment status	1
1449	84	equipment status	2
1450	81	equipment status	2
1451	77	equipment status	1
1452	87	equipment status	2
1453	91	equipment status	2
1454	90	equipment status	1
1455	90	volume	4
1456	121	equipment status	1
1457	112	equipment status	1
1458	116	equipment status	5
1459	116	temperature	26
1460	116	wind speed	4
1461	115	equipment status	1
1462	119	equipment status	1
1463	112	equipment status	2
1464	121	equipment status	1
1465	110	equipment status	1
1466	97	equipment status	1
1467	99	equipment status	1
1468	103	equipment status	2
1469	101	equipment status	2
1470	102	equipment status	1
1471	105	equipment status	1
1472	111	equipment status	2
1473	115	equipment status	2
1474	121	equipment status	1
1475	111	equipment status	2
1476	115	equipment status	1
1477	116	equipment status	5
1478	116	temperature	26
1479	116	wind speed	4
1480	119	equipment status	1
1481	121	equipment status	1
1482	112	equipment status	2
1483	96	equipment status	1
1484	104	equipment status	1
1485	74	equipment status	2
1486	78	equipment status	2
1487	76	equipment status	4
1488	75	equipment status	2
1489	77	equipment status	2
1490	79	equipment status	1
1491	81	equipment status	2
1492	82	equipment status	2
1493	84	equipment status	2
1494	85	equipment status	1
1495	87	equipment status	2
1496	89	equipment status	1
1497	90	equipment status	2
1498	91	equipment status	2
1499	92	equipment status	2
