
t_condition
conditionId	deviceId	attribute	compareType	standardValue
249	100	Human detection	1	0
250	100	Human detection	1	2
251	98	equipment status	1	2
252	97	equipment status	1	2
253	100	Human detection	1	2
254	73	PM2.5 concentration	2	2
255	89	smoke detection	1	1
256	80	Human detection	1	1
257	91	equipment status	1	1
258	80	Human detection	1	1
259	81	Storage water volume (%)	5	5
260	80	Human detection	1	1
261	91	equipment status	1	2
262	76	equipment status	4	1
263	73	PM2.5 concentration	4	3
264	74	equipment status	1	1
265	79	equipment status	1	3
266	79	equipment status	1	4
267	88	temperature	4	twenty three
268	91	equipment status	1	1
269	77	equipment status	1	1
270	97	equipment status	1	1
271	100	Human detection	1	2
272	95	equipment status	1	1
273	102	equipment status	1	1
274	100	Human detection	1	1
275	106	equipment status	1	2
276	98	equipment status	1	1
277	96	equipment status	1	2
278	103	equipment status	1	1
279	99	equipment status	1	4
280	105	temperature	5	18
281	100	Human detection	1	1
282	107	equipment status	1	2
283	113	equipment status	1	2
284	113	equipment status	1	3
285	113	equipment status	1	4
286	116	equipment status	1	4
287	118	meteorological	1	7
288	121	equipment status	1	2
289	110	equipment status	1	2
290	118	meteorological	1	6
291	111	equipment status	1	1
292	118	meteorological	1	7
293	111	equipment status	1	1
294	112	equipment status	1	1
295	110	equipment status	1	1
296	121	equipment status	1	1
302	73	PM2.5 concentration	4	3
303	73	PM2.5 concentration	3	2
304	73	PM2.5 concentration	4	3
305	80	Human detection	1	2
306	73	PM2.5 concentration	5	2
307	88	temperature	3	15
308	80	Human detection	1	1
309	88	temperature	4	twenty four
310	84	equipment status	1	1
311	105	temperature	4	35
312	100	Human detection	1	1
313	105	temperature	5	15
314	100	Human detection	1	1
315	100	Human detection	1	2
316	105	temperature	3	26
317	105	temperature	4	20
318	100	Human detection	1	1
319	119	temperature	5	15
320	120	equipment status	1	1
321	119	temperature	2	29
322	119	temperature	3	18
323	111	equipment status	1	2
324	116	equipment status	1	1
325	112	equipment status	1	1
326	120	equipment status	1	1
327	115	Storage water volume (%)	5	10
328	119	equipment status	1	1
329	116	equipment status	1	1
330	121	equipment status	1	1
331	119	temperature	2	30
332	73	equipment status	1	1
333	82	equipment status	1	2
334	73	PM2.5 concentration	4	3
335	80	equipment status	1	1
336	80	Human detection	1	1
337	73	PM2.5 concentration	2	3
338	79	equipment status	1	4
339	74	equipment status	1	2
340	80	Human detection	1	1
341	91	equipment status	1	2
342	78	equipment status	1	1
343	88	temperature	2	30
344	81	Storage water volume (%)	3	10
345	87	equipment status	1	1
346	95	equipment status	1	1
347	107	equipment status	1	2
348	100	Human detection	1	1
349	95	equipment status	1	1
350	92	equipment status	1	1
351	80	Human detection	1	1
352	80	Human detection	1	2
353	87	equipment status	1	1
354	90	equipment status	1	2
355	85	equipment status	1	2
356	80	equipment status	1	1
357	80	Human detection	1	2
358	76	equipment status	1	1
359	79	equipment status	1	3
360	73	equipment status	1	1
361	73	PM2.5 concentration	5	2
362	82	equipment status	1	1
363	73	PM2.5 concentration	4	6
364	93	equipment status	1	1
365	86	equipment status	1	1
366	89	equipment status	1	1
367	89	smoke detection	4	1
368	78	equipment status	1	1
369	77	equipment status	1	2
370	100	Human detection	1	1
372	74	equipment status	1	1
373	78	volume	1	1
378	75	equipment status	1	1
379	79	temperature	1	26
380	75	equipment status	1	1
381	75	equipment status	1	1
382	75	equipment status	1	1
383	77	equipment status	1	1
384	78	screen brightness	1	6
385	98	equipment status	1	1
389	80	Human detection	1	2
390	75	equipment status	1	1
391	77	equipment status	1	1
392	75	equipment status	1	1
393	76	equipment status	1	1
394	77	equipment status	1	1
397	73	PM2.5 concentration	6	1
398	82	equipment status	1	2
399	73	PM2.5 concentration	1	1
400	82	equipment status	1	1
401	80	Human detection	1	2
402	80	Human detection	1	2
405	88	temperature	5	5
406	80	Human detection	1	1
407	88	temperature	4	25
408	80	Human detection	1	1
409	88	temperature	5	35
410	88	temperature	3	25
411	88	temperature	2	5
412	80	Human detection	1	1
413	74	equipment status	1	1
414	80	Human detection	1	1
415	88	temperature	4	35
417	100	Human detection	1	1
418	95	equipment status	1	2
419	97	equipment status	1	1
420	100	Human detection	1	1
421	107	equipment status	1	2
424	100	Human detection	1	1
425	105	temperature	5	15
426	100	Human detection	1	2
427	119	temperature	5	5
428	119	temperature	5	5
429	119	temperature	5	5
430	118	meteorological	1	7
431	118	meteorological	1	6
432	118	meteorological	6	6
433	118	meteorological	6	7
434	94	equipment status	1	1
435	94	equipment status	1	1
436	74	equipment status	1	1
438	80	Human detection	1	1
439	73	PM2.5 concentration	2	3
440	94	equipment status	1	1
441	76	equipment status	1	4
442	89	smoke detection	1	1
443	94	equipment status	1	1
444	79	equipment status	1	4
445	87	equipment status	1	1
446	78	equipment status	1	2
447	94	equipment status	1	1
448	74	equipment status	1	1
449	88	temperature	2	28
450	74	equipment status	1	2
451	80	Human detection	1	1
452	88	temperature	3	10
453	98	equipment status	1	1
454	109	equipment status	1	1
455	105	temperature	2	30
456	109	equipment status	1	1
458	105	temperature	3	10
459	98	equipment status	1	1
460	118	meteorological	1	4
461	88	temperature	3	15
462	119	temperature	3	5
463	114	equipment status	1	1
464	121	equipment status	1	2
466	119	temperature	2	28
467	79	equipment status	1	3
468	79	equipment status	1	4
469	116	equipment status	1	4
470	98	equipment status	1	1
471	94	equipment status	1	1
472	94	equipment status	1	1
473	94	equipment status	1	1
474	74	equipment status	1	2
475	94	equipment status	1	1
476	74	equipment status	1	2
477	88	temperature	2	25
478	94	equipment status	1	1
479	88	temperature	2	20
480	88	temperature	3	17
481	94	equipment status	1	2
482	109	equipment status	1	1
483	109	equipment status	1	2
484	95	equipment status	1	1
486	104	equipment status	1	1
487	109	equipment status	1	1
488	119	temperature	2	20
492	119	temperature	3	15
493	113	equipment status	1	1
494	118	meteorological	1	7
495	80	Human detection	1	1
496	79	equipment status	1	1
497	84	equipment status	1	2
498	88	temperature	2	32
499	118	meteorological	1	4
500	80	Human detection	1	1
501	79	equipment status	1	1
502	84	equipment status	1	2
503	88	temperature	3	2
504	80	Human detection	1	2
505	80	Human detection	1	1
506	78	equipment status	1	1
507	78	equipment status	1	2
508	89	smoke detection	1	1
509	80	Human detection	1	1
510	80	Human detection	1	2
511	100	Human detection	1	1
512	105	temperature	2	32
514	100	Human detection	1	2
515	100	Human detection	1	2
516	73	equipment status	2	1
517	73	PM2.5 concentration	3	1
519	119	temperature	2	30
520	119	temperature	2	32
521	119	temperature	3	2
522	100	Human detection	1	2
523	118	meteorological	6	1
524	73	PM2.5 concentration	1	3
525	80	Human detection	1	1
526	74	equipment status	1	1
527	118	meteorological	1	1
528	76	equipment status	4	1
529	80	Human detection	4	1
530	111	equipment status	1	1
531	83	model	1	2
532	94	equipment status	1	1
533	119	temperature	3	2
534	95	equipment status	1	1
535	96	equipment status	1	1
536	98	screen brightness	1	6
537	99	temperature	4	28
538	99	wind speed	1	2
539	104	equipment status	1	1
540	110	equipment status	1	1
541	79	temperature	6	25
542	111	equipment status	1	1
543	111	equipment status	1	1
544	111	equipment status	1	1
545	121	equipment status	1	1
546	113	equipment status	1	1
547	99	temperature	6	25
548	115	equipment status	1	1
549	112	equipment status	1	1
550	118	meteorological	1	1
555	73	PM2.5 concentration	4	50
556	94	equipment status	1	1
557	80	Human detection	1	1
558	100	Human detection	1	1
559	100	Human detection	1	1
560	98	equipment status	1	1
563	119	temperature	3	10
564	118	meteorological	1	4
565	118	meteorological	1	1
566	88	temperature	2	30
567	88	temperature	3	10
568	119	temperature	2	30
569	119	temperature	3	10
570	74	equipment status	1	1
571	73	PM2.5 concentration	1	4
572	73	PM2.5 concentration	1	5
573	73	PM2.5 concentration	1	6
574	73	PM2.5 concentration	1	3
575	81	equipment status	1	1
576	79	equipment status	1	4
577	78	equipment status	1	1
578	87	equipment status	1	1
579	88	temperature	2	30
580	80	Human detection	1	1
581	80	Human detection	1	1
582	88	temperature	3	18
583	100	Human detection	1	1
584	100	Human detection	1	2
585	120	equipment status	1	1
586	118	meteorological	1	1
587	118	meteorological	1	4
588	118	meteorological	1	5
589	112	equipment status	1	2
590	76	equipment status	1	1
591	113	equipment status	1	3
592	75	equipment status	1	1
593	112	equipment status	1	1
594	76	equipment status	1	1
595	75	equipment status	1	1
600	112	equipment status	1	1
601	74	equipment status	1	1
602	116	equipment status	1	3
604	110	equipment status	1	1
605	117	equipment status	1	1
608	120	equipment status	1	1
609	109	equipment status	1	2
610	76	equipment status	1	1
611	98	equipment status	1	1
612	104	equipment status	1	1
613	100	Human detection	1	1
614	99	equipment status	1	5
615	100	Human detection	1	2
616	94	equipment status	1	1
617	80	Human detection	1	2
618	78	equipment status	1	1
619	91	equipment status	1	1
620	74	equipment status	1	1
621	115	timing	1	2
622	110	equipment status	1	1
623	121	equipment status	1	2
624	116	Timing	1	7
625	119	temperature	1	26
626	113	equipment status	1	3
627	110	equipment status	1	1
628	100	Human detection	1	1
629	119	equipment status	1	1
630	119	temperature	2	27
631	123	meteorological	1	1
632	80	Human detection	1	1
633	88	temperature	3	5
634	118	equipment status	1	1
635	118	meteorological	1	6
636	115	equipment status	1	2
637	94	equipment status	1	1
638	94	equipment status	1	1
639	73	PM2.5 concentration	2	3
640	89	smoke detection	1	1
641	119	equipment status	1	1
642	119	temperature	3	5
643	113	equipment status	1	1
644	78	equipment status	1	1
645	109	equipment status	1	1
646	98	equipment status	1	1
647	99	equipment status	1	4
648	101	Storage water volume (%)	3	5
649	105	temperature	2	30
650	100	Human detection	1	2
651	118	equipment status	1	1
652	118	meteorological	1	1
653	97	equipment status	1	1
654	100	Human detection	1	2
657	114	equipment status	1	1
658	118	meteorological	1	5
659	119	temperature	3	5
660	118	meteorological	1	6
665	103	equipment status	1	1
666	109	equipment status	1	2
667	100	equipment status	1	1
668	100	Human detection	1	1
669	89	smoke detection	1	1
670	119	equipment status	1	1
671	119	temperature	4	14
672	113	equipment status	4	2
673	73	PM2.5 concentration	1	3
674	78	equipment status	1	1
675	99	equipment status	1	4
676	99	equipment status	1	2
677	99	equipment status	1	6
678	99	equipment status	1	7
679	88	temperature	1	30
680	123	meteorological	1	7
681	93	equipment status	1	1
682	98	equipment status	1	1
683	98	screen brightness	4	6
684	78	volume	1	1
685	74	equipment status	1	1
686	97	equipment status	1	2
687	79	temperature	3	20
688	103	equipment status	1	1
689	73	PM2.5 concentration	4	3
690	80	Human detection	1	1
691	80	Human detection	1	1
692	80	Human detection	1	2
693	75	equipment status	1	2
694	89	smoke detection	1	1
695	88	temperature	2	twenty two
696	88	temperature	3	30
697	88	temperature	4	35
698	123	meteorological	1	6
700	123	meteorological	1	7
701	118	meteorological	1	3
702	73	PM2.5 concentration	1	
703	80	Human detection	1	
704	75	equipment status	1	
705	79	equipment status	1	1
706	82	wind speed	1	2
707	78	equipment status	1	1
708	74	equipment status	1	1
709	91	equipment status	1	1
710	79	temperature	3	18
711	88	temperature	2	28
712	73	PM2.5 concentration	2	2
713	87	equipment status	1	1
714	107	equipment status	1	1
715	98	equipment status	1	1
716	95	equipment status	1	1
717	100	Human detection	1	1
718	105	temperature	3	10
719	99	equipment status	1	2
720	119	temperature	3	10
721	87	equipment status	2	1
722	89	smoke detection	1	1
723	80	Human detection	1	2
724	123	equipment status	1	2
726	118	meteorological	1	6
727	87	equipment status	1	1
728	78	equipment status	1	1
729	119	temperature	2	35
730	78	equipment status	1	1
731	116	equipment status	1	4
732	115	equipment status	1	1
733	121	equipment status	1	1
735	80	Human detection	1	1
736	74	equipment status	1	1
737	74	equipment status	1	1
738	92	equipment status	1	1
739	91	equipment status	1	1
740	91	equipment status	1	1
741	80	Human detection	1	1
742	77	equipment status	1	1
743	83	model	1	2
744	79	temperature	4	25
745	74	equipment status	1	1
746	88	temperature	2	30
747	83	model	1	1
748	79	equipment status	1	2
749	114	equipment status	1	1
750	83	model	1	1
751	121	equipment status	1	2
752	111	equipment status	1	2
753	95	equipment status	1	1
754	83	model	1	2
755	97	equipment status	1	2
756	105	temperature	2	30
757	79	temperature	3	25
758	98	equipment status	1	1
759	119	temperature	2	28
760	121	equipment status	1	1
761	111	equipment status	1	1
762	113	equipment status	1	3
763	118	meteorological	1	3
764	118	meteorological	1	4
765	120	equipment status	1	1
766	73	PM2.5 concentration	2	3
767	74	equipment status	1	2
768	100	Human detection	1	1
769	95	equipment status	1	1
770	95	equipment status	1	1
771	78	equipment status	1	1
772	75	equipment status	1	2
773	98	equipment status	4	1
774	100	Human detection	1	1
775	78	equipment status	1	1
776	91	equipment status	1	1
777	112	equipment status	1	1
778	103	equipment status	1	2
779	99	equipment status	1	1
780	87	equipment status	1	1
781	100	Human detection	1	2
782	100	Human detection	1	1
783	123	meteorological	1	1
784	100	Human detection	1	1
785	80	Human detection	1	2
786	100	Human detection	1	1
787	80	Human detection	1	1
788	77	equipment status	1	1
789	98	equipment status	1	1
790	103	equipment status	1	2
791	79	equipment status	1	4
792	112	equipment status	1	1
793	89	smoke detection	1	1
794	115	Storage water volume (%)	2	0
795	117	equipment status	1	1
796	109	equipment status	1	1
797	80	Human detection	1	2
798	118	meteorological	1	1
799	107	equipment status	1	1
800	98	equipment status	1	1
801	115	Storage water volume (%)	4	102
802	110	equipment status	1	1
803	88	temperature	3	5
804	80	Human detection	1	1
805	103	equipment status	1	1
806	73	PM2.5 concentration	3	2
807	100	Human detection	1	2
808	89	smoke detection	4	1
809	105	temperature	2	28
810	118	meteorological	1	4
811	80	Human detection	1	1
812	118	meteorological	1	1
813	123	meteorological	5	4
814	121	equipment status	1	2
815	119	temperature	3	5
816	118	meteorological	1	5
817	78	equipment status	1	1
818	80	Human detection	1	1
819	114	equipment status	1	1
820	78	equipment status	1	1
821	88	temperature	4	28
822	121	equipment status	1	1
823	116	equipment status	1	3
824	116	equipment status	1	3
825	116	equipment status	1	4
826	111	equipment status	1	1
827	113	equipment status	1	3
828	118	meteorological	1	4
829	118	meteorological	1	4
830	118	meteorological	1	4
831	118	meteorological	1	7
832	119	temperature	4	30
833	109	equipment status	1	1
834	103	equipment status	1	1
835	100	Human detection	1	2
836	74	equipment status	1	1
837	98	equipment status	1	1
838	100	Human detection	1	1
839	97	equipment status	1	1
840	73	PM2.5 concentration	6	1
841	87	equipment status	1	1
842	79	equipment status	1	1
843	123	meteorological	1	6
844	80	Human detection	1	2
845	89	smoke detection	1	1
846	80	Human detection	1	1
847	80	Human detection	1	1
848	86	equipment status	1	1
849	89	smoke detection	1	1
850	94	equipment status	1	1
851	123	meteorological	6	1
852	78	equipment status	1	1
853	73	PM2.5 concentration	2	2
854	89	smoke detection	1	1
855	93	equipment status	1	1
856	79	equipment status	1	3
857	87	equipment status	1	1
858	80	Human detection	1	1
859	88	temperature	3	10
860	114	volume	2	10
861	74	equipment status	3	1
862	75	equipment status	1	2
863	77	equipment status	3	1
864	100	Human detection	1	1
865	94	equipment status	4	2
866	98	equipment status	1	1
867	87	equipment status	2	1
868	73	PM2.5 concentration	2	3
869	79	wind speed	3	2
870	92	equipment status	2	1
871	78	equipment status	1	1
872	98	equipment status	1	1
873	79	equipment status	1	4
874	77	equipment status	2	1
875	80	equipment status	5	2
876	87	equipment status	2	1
877	73	PM2.5 concentration	1	1
878	73	PM2.5 concentration	2	1
879	87	equipment status	1	1
880	78	equipment status	1	1
881	80	Human detection	1	2
882	73	PM2.5 concentration	2	1
883	73	PM2.5 concentration	3	1
884	95	equipment status	2	1
885	79	wind speed	1	3
886	80	Human detection	1	2
887	96	equipment status	2	1
888	109	equipment status	1	1
889	108	equipment status	1	1
890	98	equipment status	1	1
891	107	equipment status	1	1
892	97	equipment status	1	1
893	100	equipment status	1	1
894	105	temperature	4	28
895	105	temperature	3	10
896	103	equipment status	1	1
897	90	equipment status	1	1
898	97	equipment status	1	1
899	100	equipment status	1	1
900	107	equipment status	3	1
901	82	equipment status	1	1
902	100	Human detection	1	1
903	81	equipment status	1	1
904	101	Storage water volume (%)	2	55
905	87	equipment status	1	1
906	114	equipment status	1	1
907	112	equipment status	4	2
908	100	Human detection	1	2
909	111	equipment status	1	1
910	84	equipment status	1	1
911	120	equipment status	1	1
912	93	equipment status	1	1
913	121	equipment status	2	1
914	123	meteorological	1	7
915	118	equipment status	1	1
916	107	equipment status	1	1
917	118	meteorological	1	7
918	118	meteorological	1	4
919	118	meteorological	1	6
920	118	meteorological	1	5
922	99	temperature	1	26
923	118	meteorological	1	6
924	96	equipment status	1	1
925	118	meteorological	6	1
926	112	equipment status	1	2
927	114	equipment status	1	1
928	113	equipment status	1	4
929	113	equipment status	1	4
930	120	equipment status	1	1
931	111	equipment status	1	1
932	100	Human detection	1	2
933	102	Timing	2	6
934	100	Human detection	1	2
935	113	equipment status	1	4
936	118	meteorological	1	5
937	118	meteorological	1	7
938	119	temperature	3	10
939	119	temperature	2	37
940	118	meteorological	1	6
947	79	temperature	4	26
948	118	meteorological	1	1
949	98	screen brightness	1	9
950	110	equipment status	1	1
951	76	equipment status	1	1
952	81	equipment status	1	1
953	91	equipment status	1	1
954	87	equipment status	1	1
955	86	equipment status	1	1
956	94	equipment status	1	2
957	85	equipment status	1	1
958	99	temperature	4	26
959	99	temperature	5	18
960	106	equipment status	1	1
961	101	Storage water volume (%)	1	20
962	102	equipment status	1	1
963	98	equipment status	1	1
964	104	equipment status	1	1
965	113	equipment status	1	4
966	112	equipment status	1	1
967	114	volume	4	8
968	119	temperature	2	26
969	119	temperature	5	18
970	120	equipment status	1	1
971	117	equipment status	1	1
972	114	screen brightness	4	8
973	114	equipment status	1	1
974	116	Timing	1	5
975	119	temperature	2	26
976	119	temperature	4	26
977	82	equipment status	1	1
978	79	equipment status	1	4
979	117	equipment status	1	1
980	75	equipment status	1	2
981	75	equipment status	1	2
982	112	equipment status	1	1
983	94	equipment status	1	2
984	76	equipment status	1	3
985	74	equipment status	1	1
986	111	equipment status	1	1
987	94	equipment status	1	2
988	94	equipment status	1	2
989	121	
1	1
990	87	equipment status	1	1
991	74	equipment status	1	1
992	109	equipment status	1	2
994	99	equipment status	1	4
995	73	equipment status	1	1
996	109	equipment status	1	2
997	121	equipment status	1	2
998	109	equipment status	1	2
999	98	equipment status	1	1
1000	123	meteorological	1	1
1001	109	equipment status	1	2
1002	123	meteorological	1	4
1003	113	equipment status	1	4
1004	100	equipment status	1	1
1005	100	Human detection	1	2
1006	117	equipment status	1	1
1007	112	equipment status	1	2
1008	123	meteorological	1	3
1009	80	Human detection	1	1
1010	112	equipment status	1	1
1013	121	equipment status	1	1
1014	111	equipment status	1	1
1015	123	meteorological	1	1
1016	88	temperature	4	30
1017	80	Human detection	1	1
1018	119	equipment status	1	1
1019	119	temperature	3	15
1020	79	equipment status	1	4
1021	80	Human detection	1	1
1022	105	equipment status	1	1
1023	105	temperature	3	15
1024	91	equipment status	1	1
1025	89	smoke detection	1	1
1026	88	temperature	2	35
1027	87	equipment status	1	1
1028	98	equipment status	1	1
1029	89	smoke detection	1	1
1030	90	volume	2	16
1031	107	equipment status	1	1
1032	100	Human detection	1	1
1033	80	Human detection	1	1
1035	89	smoke detection	1	1
1036	73	PM2.5 concentration	3	2
1037	94	equipment status	1	1
1038	73	PM2.5 concentration	4	3
1039	81	equipment status	1	1
1040	123	meteorological	1	6
1041	88	temperature	2	30
1042	98	equipment status	1	1
1043	78	equipment status	1	1
1044	107	equipment status	1	1
1045	100	equipment status	1	1
1046	74	equipment status	1	1
1047	101	equipment status	1	1
1048	102	equipment status	1	1
1049	88	temperature	5	10
1050	99	equipment status	1	4
1051	114	equipment status	1	1
1052	78	equipment status	1	1
1053	110	equipment status	1	2
1054	116	equipment status	1	4
1055	118	meteorological	1	1
1056	80	Human detection	1	1
1057	117	equipment status	1	1
1058	100	Human detection	1	1
1059	114	volume	2	7
1060	105	temperature	4	35
1061	100	Human detection	1	1
1062	100	Human detection	1	1
1063	74	equipment status	1	2
1064	105	temperature	5	10
1065	95	equipment status	1	1
1066	100	Human detection	1	1
1067	119	temperature	5	10
1069	119	temperature	5	10
1070	118	meteorological	1	4
1072	114	screen brightness	4	8
1077	122	equipment status	1	1
1080	88	temperature	1	28
1081	121	equipment status	1	1
1082	79	equipment status	6	1
1083	84	equipment status	1	1
1087	118	meteorological	1	7
1088	75	equipment status	2	1
1089	80	Human detection	1	1
1090	79	equipment status	3	3
1091	78	volume	3	1
1092	111	equipment status	1	2
1093	98	screen brightness	3	1
1094	102	Timing	1	1
1095	101	Storage water volume (%)	1	35
1096	97	equipment status	1	1
1098	99	wind speed	1	1
1099	73	PM2.5 concentration	3	1
1101	114	equipment status	1	1
1102	114	equipment status	1	1
1103	116	wind speed	1	1
1104	114	volume	4	1
1105	114	volume	4	1
1106	116	equipment status	1	4
1109	114	equipment status	1	1
1110	79	equipment status	6	1
1111	119	temperature	4	30
1112	119	temperature	5	10
1113	118	meteorological	1	4
1114	116	equipment status	1	4
1115	100	Human detection	1	1
1116	100	Human detection	1	2
1117	98	equipment status	1	1
1118	105	temperature	5	10
1119	107	equipment status	1	1
1120	100	Human detection	1	1
1121	73	PM2.5 concentration	1	3
1123	84	equipment status	1	1
1124	89	smoke detection	1	1
1125	78	equipment status	1	1
1126	80	Human detection	1	1
1127	88	temperature	4	30
1128	88	temperature	5	10
1129	123	meteorological	1	4
1130	80	Human detection	1	1
1131	75	equipment status	1	1
1132	79	equipment status	1	4
1133	79	equipment status	1	4
1134	78	equipment status	1	1
1135	116	equipment status	1	5
1136	73	PM2.5 concentration	4	3
1138	114	equipment status	1	1
1139	121	equipment status	1	2
1141	88	temperature	4	30
1142	88	temperature	5	35
1143	88	temperature	2	35
1144	117	equipment status	1	2
1145	87	equipment status	1	1
1146	111	equipment status	1	1
1148	117	equipment status	1	2
1149	80	Human detection	1	2
1150	87	equipment status	1	1
1151	121	equipment status	1	1
1152	78	equipment status	1	1
1153	89	smoke detection	1	1
1154	80	Human detection	1	2
1155	88	temperature	5	10
1156	109	equipment status	1	1
1157	105	temperature	4	30
1158	100	Human detection	1	1
1159	109	equipment status	1	1
1160	100	Human detection	1	1
1161	109	equipment status	1	1
1162	105	temperature	5	10
1163	109	equipment status	1	1
1164	104	equipment status	1	1
1165	100	Human detection	1	2
1166	100	Human detection	1	1
1167	100	Human detection	1	1
1168	119	temperature	4	10
1169	73	PM2.5 concentration	1	3
1170	120	equipment status	1	1
1171	111	equipment status	1	1
1172	88	temperature	1	30
1173	80	Human detection	1	1
1174	119	temperature	5	0
1175	114	screen brightness	5	6
1176	88	temperature	1	10
1177	80	Human detection	1	1
1178	118	meteorological	1	7
1179	80	Human detection	1	2
1180	117	equipment status	1	1
1181	78	screen brightness	1	4
1182	94	equipment status	1	1
1183	80	Human detection	1	1
1184	74	equipment status	1	2
1185	123	meteorological	1	6
1186	89	smoke detection	1	1
1187	80	Human detection	1	2
1188	73	PM2.5 concentration	2	2
1189	73	equipment status	6	1
1190	88	temperature	2	28
1191	123	meteorological	1	3
1192	80	Human detection	1	1
1193	89	smoke detection	1	1
1194	97	equipment status	1	1
1195	73	PM2.5 concentration	4	2
1196	123	meteorological	1	4
1197	123	meteorological	1	5
1198	80	Human detection	1	2
1199	88	temperature	3	6
1200	73	equipment status	1	1
1201	73	PM2.5 concentration	1	3
1202	105	temperature	4	28
1203	100	Human detection	1	2
1204	87	equipment status	1	1
1205	102	equipment status	1	1
1206	100	Human detection	1	2
1207	94	equipment status	1	1
1208	120	equipment status	1	1
1209	118	meteorological	1	6
1210	123	meteorological	1	4
1211	123	meteorological	1	5
1212	123	meteorological	1	7
1213	123	equipment status	1	1
1214	114	equipment status	1	1
1215	117	equipment status	1	1
1216	80	equipment status	1	1
1217	80	Human detection	1	1
1218	80	equipment status	1	1
1219	80	Human detection	1	2
1220	79	temperature	2	30
1221	74	equipment status	1	1
1222	88	equipment status	1	1
1223	88	temperature	2	30
1224	74	equipment status	1	1
1225	80	Human detection	1	1
1226	78	
1	1
1227	89	smoke detection	1	1
1228	89	smoke detection	1	1
1229	89	smoke detection	1	1
1230	74	equipment status	1	1
1231	88	temperature	3	0
1232	100	Human detection	1	1
1233	96	equipment status	1	1
1234	105	temperature	3	0
1235	120	volume	1	1
1236	100	Human detection	1	1
1237	98	equipment status	1	1
1238	98	screen brightness	1	4
1239	98	screen brightness	2	8
1240	121	equipment status	1	1
1241	116	equipment status	1	4
1242	119	temperature	3	0
1243	118	meteorological	1	1
1244	111	equipment status	1	1
1245	118	meteorological	1	1
1246	123	meteorological	1	6
1247	123	meteorological	1	7
1248	88	temperature	2	40
1249	89	smoke detection	1	1
1251	99	equipment status	6	1
1252	100	Human detection	1	1
1253	100	Human detection	1	1
1254	109	equipment status	1	1
1255	100	Human detection	1	1
1256	105	temperature	4	33
1257	105	temperature	5	15
1258	103	equipment status	1	1
1259	103	equipment status	1	1
1260	103	equipment status	1	1
1261	120	equipment status	1	1
1262	80	Human detection	1	1
1263	118	meteorological	1	6
1264	118	meteorological	1	7
